Points removed: 0, Discriminating Tests: 7930
Points removed: 1, Discriminating Tests: 6890
Points removed: 2, Discriminating Tests: 6775
Points removed: 3, Discriminating Tests: 5403
Points removed: 4, Discriminating Tests: 5253
Points removed: 5, Discriminating Tests: 4089
Points removed: 6, Discriminating Tests: 3154
Points removed: 7, Discriminating Tests: 2965
Points removed: 8, Discriminating Tests: 2227
Points removed: 9, Discriminating Tests: 750
Points removed: 10, Discriminating Tests: 771
Points removed: 11, Discriminating Tests: 966
Points removed: 12, Discriminating Tests: 474
Points removed: 13, Discriminating Tests: 1980
Points removed: 14, Discriminating Tests: 1232
Points removed: 15, Discriminating Tests: 2195
Points removed: 16, Discriminating Tests: 3651
Points removed: 17, Discriminating Tests: 4038
Points removed: 18, Discriminating Tests: 4620
Points removed: 19, Discriminating Tests: 5656
Points removed: 20, Discriminating Tests: 6973
Points removed: 21, Discriminating Tests: 7580
Points removed: 22, Discriminating Tests: 8205
Points removed: 23, Discriminating Tests: 7629
Points removed: 24, Discriminating Tests: 9263
Points removed: 25, Discriminating Tests: 9158
Points removed: 26, Discriminating Tests: 9152
Points removed: 27, Discriminating Tests: 11074
Points removed: 28, Discriminating Tests: 10619
Points removed: 29, Discriminating Tests: 11361
Points removed: 30, Discriminating Tests: 11242
Points removed: 31, Discriminating Tests: 12529
Points removed: 32, Discriminating Tests: 13340
Points removed: 33, Discriminating Tests: 14736
Points removed: 34, Discriminating Tests: 14222
Points removed: 35, Discriminating Tests: 15005
Points removed: 36, Discriminating Tests: 16120
Points removed: 37, Discriminating Tests: 17333
Points removed: 38, Discriminating Tests: 18719
Points removed: 39, Discriminating Tests: 18354
