Points removed: 0, Discriminating Tests: 9741
Points removed: 1, Discriminating Tests: 8900
Points removed: 2, Discriminating Tests: 8064
Points removed: 3, Discriminating Tests: 7873
Points removed: 4, Discriminating Tests: 5998
Points removed: 5, Discriminating Tests: 5161
Points removed: 6, Discriminating Tests: 6386
Points removed: 7, Discriminating Tests: 5415
Points removed: 8, Discriminating Tests: 3515
Points removed: 9, Discriminating Tests: 2574
Points removed: 10, Discriminating Tests: 2046
Points removed: 11, Discriminating Tests: 2822
Points removed: 12, Discriminating Tests: 1223
Points removed: 13, Discriminating Tests: 1126
Points removed: 14, Discriminating Tests: 352
Points removed: 15, Discriminating Tests: 258
Points removed: 16, Discriminating Tests: 463
Points removed: 17, Discriminating Tests: 1233
Points removed: 18, Discriminating Tests: 1121
Points removed: 19, Discriminating Tests: 2116
Points removed: 20, Discriminating Tests: 2254
Points removed: 21, Discriminating Tests: 3737
Points removed: 22, Discriminating Tests: 3706
Points removed: 23, Discriminating Tests: 4730
Points removed: 24, Discriminating Tests: 4696
Points removed: 25, Discriminating Tests: 4528
Points removed: 26, Discriminating Tests: 5663
Points removed: 27, Discriminating Tests: 6542
Points removed: 28, Discriminating Tests: 6071
Points removed: 29, Discriminating Tests: 6953
Points removed: 30, Discriminating Tests: 8455
Points removed: 31, Discriminating Tests: 8998
Points removed: 32, Discriminating Tests: 9164
Points removed: 33, Discriminating Tests: 9266
Points removed: 34, Discriminating Tests: 10137
Points removed: 35, Discriminating Tests: 10754
Points removed: 36, Discriminating Tests: 9767
Points removed: 37, Discriminating Tests: 11105
Points removed: 38, Discriminating Tests: 11693
Points removed: 39, Discriminating Tests: 11163
