Points removed: 0, Discriminating Tests: 10765
Points removed: 1, Discriminating Tests: 11450
Points removed: 2, Discriminating Tests: 10843
Points removed: 3, Discriminating Tests: 9479
Points removed: 4, Discriminating Tests: 9515
Points removed: 5, Discriminating Tests: 9257
Points removed: 6, Discriminating Tests: 9941
Points removed: 7, Discriminating Tests: 10375
Points removed: 8, Discriminating Tests: 10362
Points removed: 9, Discriminating Tests: 11557
Points removed: 10, Discriminating Tests: 11178
Points removed: 11, Discriminating Tests: 11932
Points removed: 12, Discriminating Tests: 10795
Points removed: 13, Discriminating Tests: 11607
Points removed: 14, Discriminating Tests: 11560
Points removed: 15, Discriminating Tests: 11361
Points removed: 16, Discriminating Tests: 11758
Points removed: 17, Discriminating Tests: 11614
Points removed: 18, Discriminating Tests: 11051
Points removed: 19, Discriminating Tests: 12412
Points removed: 20, Discriminating Tests: 12540
Points removed: 21, Discriminating Tests: 13635
Points removed: 22, Discriminating Tests: 13137
Points removed: 23, Discriminating Tests: 14113
Points removed: 24, Discriminating Tests: 14545
Points removed: 25, Discriminating Tests: 14015
Points removed: 26, Discriminating Tests: 14706
Points removed: 27, Discriminating Tests: 14663
Points removed: 28, Discriminating Tests: 14933
Points removed: 29, Discriminating Tests: 14354
Points removed: 30, Discriminating Tests: 14355
Points removed: 31, Discriminating Tests: 13774
Points removed: 32, Discriminating Tests: 15161
Points removed: 33, Discriminating Tests: 14520
Points removed: 34, Discriminating Tests: 15174
Points removed: 35, Discriminating Tests: 15662
Points removed: 36, Discriminating Tests: 15268
Points removed: 37, Discriminating Tests: 16501
Points removed: 38, Discriminating Tests: 16094
Points removed: 39, Discriminating Tests: 15967
