Points removed: 0, Discriminating Tests: 11642
Points removed: 1, Discriminating Tests: 10101
Points removed: 2, Discriminating Tests: 9208
Points removed: 3, Discriminating Tests: 9255
Points removed: 4, Discriminating Tests: 6724
Points removed: 5, Discriminating Tests: 6675
Points removed: 6, Discriminating Tests: 6737
Points removed: 7, Discriminating Tests: 5944
Points removed: 8, Discriminating Tests: 4634
Points removed: 9, Discriminating Tests: 2875
Points removed: 10, Discriminating Tests: 2382
Points removed: 11, Discriminating Tests: 3379
Points removed: 12, Discriminating Tests: 1986
Points removed: 13, Discriminating Tests: 2268
Points removed: 14, Discriminating Tests: 521
Points removed: 15, Discriminating Tests: 728
Points removed: 16, Discriminating Tests: 583
Points removed: 17, Discriminating Tests: 1874
Points removed: 18, Discriminating Tests: 857
Points removed: 19, Discriminating Tests: 2502
Points removed: 20, Discriminating Tests: 1944
Points removed: 21, Discriminating Tests: 2790
Points removed: 22, Discriminating Tests: 2972
Points removed: 23, Discriminating Tests: 3736
Points removed: 24, Discriminating Tests: 4214
Points removed: 25, Discriminating Tests: 3476
Points removed: 26, Discriminating Tests: 5249
Points removed: 27, Discriminating Tests: 5721
Points removed: 28, Discriminating Tests: 5009
Points removed: 29, Discriminating Tests: 6441
Points removed: 30, Discriminating Tests: 7601
Points removed: 31, Discriminating Tests: 8555
Points removed: 32, Discriminating Tests: 7823
Points removed: 33, Discriminating Tests: 8564
Points removed: 34, Discriminating Tests: 9017
Points removed: 35, Discriminating Tests: 10896
Points removed: 36, Discriminating Tests: 9848
Points removed: 37, Discriminating Tests: 10555
Points removed: 38, Discriminating Tests: 11304
Points removed: 39, Discriminating Tests: 10854
Points removed: 40, Discriminating Tests: 11379
Points removed: 41, Discriminating Tests: 11716
Points removed: 42, Discriminating Tests: 11392
Points removed: 43, Discriminating Tests: 12319
Points removed: 44, Discriminating Tests: 13479
Points removed: 45, Discriminating Tests: 14482
Points removed: 46, Discriminating Tests: 14122
Points removed: 47, Discriminating Tests: 14251
Points removed: 48, Discriminating Tests: 14924
Points removed: 49, Discriminating Tests: 15805
Points removed: 50, Discriminating Tests: 15694
Points removed: 51, Discriminating Tests: 17063
Points removed: 52, Discriminating Tests: 16160
Points removed: 53, Discriminating Tests: 17522
Points removed: 54, Discriminating Tests: 17806
Points removed: 55, Discriminating Tests: 17478
Points removed: 56, Discriminating Tests: 18343
Points removed: 57, Discriminating Tests: 18149
Points removed: 58, Discriminating Tests: 19064
Points removed: 59, Discriminating Tests: 19214
Points removed: 60, Discriminating Tests: 19813
Points removed: 61, Discriminating Tests: 21740
Points removed: 62, Discriminating Tests: 20216
Points removed: 63, Discriminating Tests: 20884
Points removed: 64, Discriminating Tests: 21798
Points removed: 65, Discriminating Tests: 21991
Points removed: 66, Discriminating Tests: 22904
Points removed: 67, Discriminating Tests: 22911
Points removed: 68, Discriminating Tests: 22024
Points removed: 69, Discriminating Tests: 23486
Points removed: 70, Discriminating Tests: 23961
Points removed: 71, Discriminating Tests: 23975
Points removed: 72, Discriminating Tests: 24516
Points removed: 73, Discriminating Tests: 24996
Points removed: 74, Discriminating Tests: 26070
Points removed: 75, Discriminating Tests: 26245
Points removed: 76, Discriminating Tests: 26868
Points removed: 77, Discriminating Tests: 27470
Points removed: 78, Discriminating Tests: 27235
Points removed: 79, Discriminating Tests: 27657
Points removed: 80, Discriminating Tests: 27954
Points removed: 81, Discriminating Tests: 27795
Points removed: 82, Discriminating Tests: 28624
Points removed: 83, Discriminating Tests: 28399
Points removed: 84, Discriminating Tests: 28407
Points removed: 85, Discriminating Tests: 28585
Points removed: 86, Discriminating Tests: 30004
Points removed: 87, Discriminating Tests: 30099
Points removed: 88, Discriminating Tests: 30684
Points removed: 89, Discriminating Tests: 30360
Points removed: 90, Discriminating Tests: 31354
Points removed: 91, Discriminating Tests: 30892
Points removed: 92, Discriminating Tests: 30556
Points removed: 93, Discriminating Tests: 32266
Points removed: 94, Discriminating Tests: 32664
Points removed: 95, Discriminating Tests: 32529
Points removed: 96, Discriminating Tests: 33163
Points removed: 97, Discriminating Tests: 33897
Points removed: 98, Discriminating Tests: 33321
Points removed: 99, Discriminating Tests: 34328
Points removed: 100, Discriminating Tests: 35193
Points removed: 101, Discriminating Tests: 35146
Points removed: 102, Discriminating Tests: 36690
Points removed: 103, Discriminating Tests: 37698
Points removed: 104, Discriminating Tests: 37916
Points removed: 105, Discriminating Tests: 36637
Points removed: 106, Discriminating Tests: 37704
Points removed: 107, Discriminating Tests: 37307
Points removed: 108, Discriminating Tests: 37335
Points removed: 109, Discriminating Tests: 37552
Points removed: 110, Discriminating Tests: 39271
Points removed: 111, Discriminating Tests: 41223
Points removed: 112, Discriminating Tests: 40274
Points removed: 113, Discriminating Tests: 41695
Points removed: 114, Discriminating Tests: 42388
Points removed: 115, Discriminating Tests: 42752
Points removed: 116, Discriminating Tests: 41811
Points removed: 117, Discriminating Tests: 41928
Points removed: 118, Discriminating Tests: 42838
Points removed: 119, Discriminating Tests: 43615
