Points removed: 0, Discriminating Tests: 7740
Points removed: 1, Discriminating Tests: 8355
Points removed: 2, Discriminating Tests: 6220
Points removed: 3, Discriminating Tests: 7524
Points removed: 4, Discriminating Tests: 8210
Points removed: 5, Discriminating Tests: 7453
Points removed: 6, Discriminating Tests: 7383
Points removed: 7, Discriminating Tests: 7349
Points removed: 8, Discriminating Tests: 8159
Points removed: 9, Discriminating Tests: 8304
Points removed: 10, Discriminating Tests: 9121
Points removed: 11, Discriminating Tests: 8634
Points removed: 12, Discriminating Tests: 8672
Points removed: 13, Discriminating Tests: 9109
Points removed: 14, Discriminating Tests: 8839
Points removed: 15, Discriminating Tests: 9083
Points removed: 16, Discriminating Tests: 10126
Points removed: 17, Discriminating Tests: 10307
Points removed: 18, Discriminating Tests: 10179
Points removed: 19, Discriminating Tests: 10949
Points removed: 20, Discriminating Tests: 11523
Points removed: 21, Discriminating Tests: 10401
Points removed: 22, Discriminating Tests: 11192
Points removed: 23, Discriminating Tests: 9566
Points removed: 24, Discriminating Tests: 11025
Points removed: 25, Discriminating Tests: 10979
Points removed: 26, Discriminating Tests: 11370
Points removed: 27, Discriminating Tests: 11831
Points removed: 28, Discriminating Tests: 11577
Points removed: 29, Discriminating Tests: 11790
Points removed: 30, Discriminating Tests: 12319
Points removed: 31, Discriminating Tests: 11867
Points removed: 32, Discriminating Tests: 12491
Points removed: 33, Discriminating Tests: 12659
Points removed: 34, Discriminating Tests: 12631
Points removed: 35, Discriminating Tests: 13596
Points removed: 36, Discriminating Tests: 13275
Points removed: 37, Discriminating Tests: 12919
Points removed: 38, Discriminating Tests: 14020
Points removed: 39, Discriminating Tests: 12225
Points removed: 40, Discriminating Tests: 13247
Points removed: 41, Discriminating Tests: 12636
Points removed: 42, Discriminating Tests: 12938
Points removed: 43, Discriminating Tests: 13799
Points removed: 44, Discriminating Tests: 13829
Points removed: 45, Discriminating Tests: 13747
Points removed: 46, Discriminating Tests: 13609
Points removed: 47, Discriminating Tests: 14235
Points removed: 48, Discriminating Tests: 13971
Points removed: 49, Discriminating Tests: 15880
Points removed: 50, Discriminating Tests: 14684
Points removed: 51, Discriminating Tests: 15228
Points removed: 52, Discriminating Tests: 15292
Points removed: 53, Discriminating Tests: 16365
Points removed: 54, Discriminating Tests: 16149
Points removed: 55, Discriminating Tests: 16311
Points removed: 56, Discriminating Tests: 16037
Points removed: 57, Discriminating Tests: 16169
Points removed: 58, Discriminating Tests: 17019
Points removed: 59, Discriminating Tests: 17148
Points removed: 60, Discriminating Tests: 17645
Points removed: 61, Discriminating Tests: 17305
Points removed: 62, Discriminating Tests: 18087
Points removed: 63, Discriminating Tests: 17787
Points removed: 64, Discriminating Tests: 18024
Points removed: 65, Discriminating Tests: 18767
Points removed: 66, Discriminating Tests: 18749
Points removed: 67, Discriminating Tests: 18717
Points removed: 68, Discriminating Tests: 18141
Points removed: 69, Discriminating Tests: 19762
Points removed: 70, Discriminating Tests: 19102
Points removed: 71, Discriminating Tests: 19260
Points removed: 72, Discriminating Tests: 19419
Points removed: 73, Discriminating Tests: 20401
Points removed: 74, Discriminating Tests: 19962
Points removed: 75, Discriminating Tests: 20166
Points removed: 76, Discriminating Tests: 20261
Points removed: 77, Discriminating Tests: 20844
Points removed: 78, Discriminating Tests: 20429
Points removed: 79, Discriminating Tests: 20873
