Points removed: 0, Discriminating Tests: 8660
Points removed: 1, Discriminating Tests: 7639
Points removed: 2, Discriminating Tests: 6562
Points removed: 3, Discriminating Tests: 5823
Points removed: 4, Discriminating Tests: 4470
Points removed: 5, Discriminating Tests: 3532
Points removed: 6, Discriminating Tests: 4101
Points removed: 7, Discriminating Tests: 3369
Points removed: 8, Discriminating Tests: 1962
Points removed: 9, Discriminating Tests: 917
Points removed: 10, Discriminating Tests: 568
Points removed: 11, Discriminating Tests: 964
Points removed: 12, Discriminating Tests: 443
Points removed: 13, Discriminating Tests: 745
Points removed: 14, Discriminating Tests: 1934
Points removed: 15, Discriminating Tests: 1697
Points removed: 16, Discriminating Tests: 1873
Points removed: 17, Discriminating Tests: 3754
Points removed: 18, Discriminating Tests: 2970
Points removed: 19, Discriminating Tests: 4246
Points removed: 20, Discriminating Tests: 4445
Points removed: 21, Discriminating Tests: 6176
Points removed: 22, Discriminating Tests: 5728
Points removed: 23, Discriminating Tests: 6184
Points removed: 24, Discriminating Tests: 6882
Points removed: 25, Discriminating Tests: 5528
Points removed: 26, Discriminating Tests: 6582
Points removed: 27, Discriminating Tests: 7318
Points removed: 28, Discriminating Tests: 6411
Points removed: 29, Discriminating Tests: 7339
Points removed: 30, Discriminating Tests: 8588
Points removed: 31, Discriminating Tests: 9400
Points removed: 32, Discriminating Tests: 9450
Points removed: 33, Discriminating Tests: 9706
Points removed: 34, Discriminating Tests: 9985
Points removed: 35, Discriminating Tests: 11218
Points removed: 36, Discriminating Tests: 10094
Points removed: 37, Discriminating Tests: 11455
Points removed: 38, Discriminating Tests: 11719
Points removed: 39, Discriminating Tests: 12309
