Points removed: 0, Discriminating Tests: 8113
Points removed: 1, Discriminating Tests: 7039
Points removed: 2, Discriminating Tests: 6386
Points removed: 3, Discriminating Tests: 6425
Points removed: 4, Discriminating Tests: 4335
Points removed: 5, Discriminating Tests: 3241
Points removed: 6, Discriminating Tests: 3849
Points removed: 7, Discriminating Tests: 3024
Points removed: 8, Discriminating Tests: 1300
Points removed: 9, Discriminating Tests: 230
Points removed: 10, Discriminating Tests: 35
Points removed: 11, Discriminating Tests: 371
Points removed: 12, Discriminating Tests: 1675
Points removed: 13, Discriminating Tests: 1231
Points removed: 14, Discriminating Tests: 2487
Points removed: 15, Discriminating Tests: 2479
Points removed: 16, Discriminating Tests: 2743
Points removed: 17, Discriminating Tests: 4278
Points removed: 18, Discriminating Tests: 3577
Points removed: 19, Discriminating Tests: 5037
Points removed: 20, Discriminating Tests: 4185
Points removed: 21, Discriminating Tests: 6592
Points removed: 22, Discriminating Tests: 6594
Points removed: 23, Discriminating Tests: 6627
Points removed: 24, Discriminating Tests: 7622
Points removed: 25, Discriminating Tests: 7491
Points removed: 26, Discriminating Tests: 8354
Points removed: 27, Discriminating Tests: 8985
Points removed: 28, Discriminating Tests: 8704
Points removed: 29, Discriminating Tests: 9693
Points removed: 30, Discriminating Tests: 10847
Points removed: 31, Discriminating Tests: 11563
Points removed: 32, Discriminating Tests: 11638
Points removed: 33, Discriminating Tests: 12042
Points removed: 34, Discriminating Tests: 12685
Points removed: 35, Discriminating Tests: 13430
Points removed: 36, Discriminating Tests: 12687
Points removed: 37, Discriminating Tests: 13883
Points removed: 38, Discriminating Tests: 14403
Points removed: 39, Discriminating Tests: 14787
