Points removed: 0, Discriminating Tests: 11669
Points removed: 1, Discriminating Tests: 10689
Points removed: 2, Discriminating Tests: 11651
Points removed: 3, Discriminating Tests: 10919
Points removed: 4, Discriminating Tests: 11943
Points removed: 5, Discriminating Tests: 12079
Points removed: 6, Discriminating Tests: 11875
Points removed: 7, Discriminating Tests: 12102
Points removed: 8, Discriminating Tests: 11784
Points removed: 9, Discriminating Tests: 11923
Points removed: 10, Discriminating Tests: 11607
Points removed: 11, Discriminating Tests: 11593
Points removed: 12, Discriminating Tests: 11157
Points removed: 13, Discriminating Tests: 11129
Points removed: 14, Discriminating Tests: 11604
Points removed: 15, Discriminating Tests: 11763
Points removed: 16, Discriminating Tests: 12091
Points removed: 17, Discriminating Tests: 11763
Points removed: 18, Discriminating Tests: 11146
Points removed: 19, Discriminating Tests: 12500
Points removed: 20, Discriminating Tests: 13441
Points removed: 21, Discriminating Tests: 12939
Points removed: 22, Discriminating Tests: 13609
Points removed: 23, Discriminating Tests: 12223
Points removed: 24, Discriminating Tests: 13825
Points removed: 25, Discriminating Tests: 12376
Points removed: 26, Discriminating Tests: 13574
Points removed: 27, Discriminating Tests: 12924
Points removed: 28, Discriminating Tests: 13345
Points removed: 29, Discriminating Tests: 13187
Points removed: 30, Discriminating Tests: 13308
Points removed: 31, Discriminating Tests: 13071
Points removed: 32, Discriminating Tests: 13929
Points removed: 33, Discriminating Tests: 14110
Points removed: 34, Discriminating Tests: 13872
Points removed: 35, Discriminating Tests: 13670
Points removed: 36, Discriminating Tests: 14194
Points removed: 37, Discriminating Tests: 14708
Points removed: 38, Discriminating Tests: 18182
Points removed: 39, Discriminating Tests: 14264
Points removed: 40, Discriminating Tests: 14206
Points removed: 41, Discriminating Tests: 14886
Points removed: 42, Discriminating Tests: 15215
Points removed: 43, Discriminating Tests: 13889
Points removed: 44, Discriminating Tests: 14596
Points removed: 45, Discriminating Tests: 15113
Points removed: 46, Discriminating Tests: 14876
Points removed: 47, Discriminating Tests: 15380
Points removed: 48, Discriminating Tests: 15529
Points removed: 49, Discriminating Tests: 15928
Points removed: 50, Discriminating Tests: 17047
Points removed: 51, Discriminating Tests: 16673
Points removed: 52, Discriminating Tests: 16631
Points removed: 53, Discriminating Tests: 16720
Points removed: 54, Discriminating Tests: 17416
Points removed: 55, Discriminating Tests: 17024
Points removed: 56, Discriminating Tests: 17053
Points removed: 57, Discriminating Tests: 17965
Points removed: 58, Discriminating Tests: 17715
Points removed: 59, Discriminating Tests: 17953
Points removed: 60, Discriminating Tests: 17606
Points removed: 61, Discriminating Tests: 18136
Points removed: 62, Discriminating Tests: 17487
Points removed: 63, Discriminating Tests: 18438
Points removed: 64, Discriminating Tests: 18389
Points removed: 65, Discriminating Tests: 18150
Points removed: 66, Discriminating Tests: 18183
Points removed: 67, Discriminating Tests: 18690
Points removed: 68, Discriminating Tests: 19144
Points removed: 69, Discriminating Tests: 18596
Points removed: 70, Discriminating Tests: 19644
Points removed: 71, Discriminating Tests: 20138
Points removed: 72, Discriminating Tests: 19957
Points removed: 73, Discriminating Tests: 19289
Points removed: 74, Discriminating Tests: 19485
Points removed: 75, Discriminating Tests: 20224
Points removed: 76, Discriminating Tests: 19384
Points removed: 77, Discriminating Tests: 19667
Points removed: 78, Discriminating Tests: 19835
Points removed: 79, Discriminating Tests: 20518
