Points removed: 0, Discriminating Tests: 16399
Points removed: 1, Discriminating Tests: 16660
Points removed: 2, Discriminating Tests: 16935
Points removed: 3, Discriminating Tests: 17041
Points removed: 4, Discriminating Tests: 17382
Points removed: 5, Discriminating Tests: 16821
Points removed: 6, Discriminating Tests: 17753
Points removed: 7, Discriminating Tests: 17110
Points removed: 8, Discriminating Tests: 16317
Points removed: 9, Discriminating Tests: 17463
Points removed: 10, Discriminating Tests: 16625
Points removed: 11, Discriminating Tests: 16644
Points removed: 12, Discriminating Tests: 15805
Points removed: 13, Discriminating Tests: 16661
Points removed: 14, Discriminating Tests: 16330
Points removed: 15, Discriminating Tests: 16474
Points removed: 16, Discriminating Tests: 16680
Points removed: 17, Discriminating Tests: 17757
Points removed: 18, Discriminating Tests: 13426
Points removed: 19, Discriminating Tests: 17283
Points removed: 20, Discriminating Tests: 17582
Points removed: 21, Discriminating Tests: 17402
Points removed: 22, Discriminating Tests: 17708
Points removed: 23, Discriminating Tests: 17766
Points removed: 24, Discriminating Tests: 18639
Points removed: 25, Discriminating Tests: 17424
Points removed: 26, Discriminating Tests: 18155
Points removed: 27, Discriminating Tests: 19167
Points removed: 28, Discriminating Tests: 18472
Points removed: 29, Discriminating Tests: 18592
Points removed: 30, Discriminating Tests: 18126
Points removed: 31, Discriminating Tests: 18141
Points removed: 32, Discriminating Tests: 19155
Points removed: 33, Discriminating Tests: 19586
Points removed: 34, Discriminating Tests: 20191
Points removed: 35, Discriminating Tests: 19516
Points removed: 36, Discriminating Tests: 19674
Points removed: 37, Discriminating Tests: 19708
Points removed: 38, Discriminating Tests: 20458
Points removed: 39, Discriminating Tests: 20372
