Points removed: 0, Discriminating Tests: 7742
Points removed: 1, Discriminating Tests: 7393
Points removed: 2, Discriminating Tests: 7232
Points removed: 3, Discriminating Tests: 7055
Points removed: 4, Discriminating Tests: 6282
Points removed: 5, Discriminating Tests: 5475
Points removed: 6, Discriminating Tests: 5773
Points removed: 7, Discriminating Tests: 5430
Points removed: 8, Discriminating Tests: 5394
Points removed: 9, Discriminating Tests: 4061
Points removed: 10, Discriminating Tests: 4735
Points removed: 11, Discriminating Tests: 3410
Points removed: 12, Discriminating Tests: 4104
Points removed: 13, Discriminating Tests: 2652
Points removed: 14, Discriminating Tests: 2857
Points removed: 15, Discriminating Tests: 2826
Points removed: 16, Discriminating Tests: 1606
Points removed: 17, Discriminating Tests: 1903
Points removed: 18, Discriminating Tests: 657
Points removed: 19, Discriminating Tests: 782
Points removed: 20, Discriminating Tests: 495
Points removed: 21, Discriminating Tests: 465
Points removed: 22, Discriminating Tests: 288
Points removed: 23, Discriminating Tests: 769
Points removed: 24, Discriminating Tests: 1871
Points removed: 25, Discriminating Tests: 1336
Points removed: 26, Discriminating Tests: 2095
Points removed: 27, Discriminating Tests: 2553
Points removed: 28, Discriminating Tests: 2733
Points removed: 29, Discriminating Tests: 3028
Points removed: 30, Discriminating Tests: 2275
Points removed: 31, Discriminating Tests: 2999
Points removed: 32, Discriminating Tests: 2922
Points removed: 33, Discriminating Tests: 3903
Points removed: 34, Discriminating Tests: 3854
Points removed: 35, Discriminating Tests: 4641
Points removed: 36, Discriminating Tests: 4564
Points removed: 37, Discriminating Tests: 5668
Points removed: 38, Discriminating Tests: 5386
Points removed: 39, Discriminating Tests: 5922
