Points removed: 0, Discriminating Tests: 10846
Points removed: 1, Discriminating Tests: 9175
Points removed: 2, Discriminating Tests: 9551
Points removed: 3, Discriminating Tests: 9062
Points removed: 4, Discriminating Tests: 9192
Points removed: 5, Discriminating Tests: 9586
Points removed: 6, Discriminating Tests: 11645
Points removed: 7, Discriminating Tests: 9440
Points removed: 8, Discriminating Tests: 10146
Points removed: 9, Discriminating Tests: 9928
Points removed: 10, Discriminating Tests: 9841
Points removed: 11, Discriminating Tests: 10578
Points removed: 12, Discriminating Tests: 10873
Points removed: 13, Discriminating Tests: 10651
Points removed: 14, Discriminating Tests: 10579
Points removed: 15, Discriminating Tests: 10794
Points removed: 16, Discriminating Tests: 10532
Points removed: 17, Discriminating Tests: 11257
Points removed: 18, Discriminating Tests: 10909
Points removed: 19, Discriminating Tests: 11916
Points removed: 20, Discriminating Tests: 11742
Points removed: 21, Discriminating Tests: 12727
Points removed: 22, Discriminating Tests: 13574
Points removed: 23, Discriminating Tests: 12731
Points removed: 24, Discriminating Tests: 13472
Points removed: 25, Discriminating Tests: 13655
Points removed: 26, Discriminating Tests: 13129
Points removed: 27, Discriminating Tests: 13580
Points removed: 28, Discriminating Tests: 14093
Points removed: 29, Discriminating Tests: 14052
Points removed: 30, Discriminating Tests: 13896
Points removed: 31, Discriminating Tests: 14321
Points removed: 32, Discriminating Tests: 15005
Points removed: 33, Discriminating Tests: 13835
Points removed: 34, Discriminating Tests: 15152
Points removed: 35, Discriminating Tests: 15542
Points removed: 36, Discriminating Tests: 15695
Points removed: 37, Discriminating Tests: 14559
Points removed: 38, Discriminating Tests: 15059
Points removed: 39, Discriminating Tests: 14807
Points removed: 40, Discriminating Tests: 15877
Points removed: 41, Discriminating Tests: 15958
Points removed: 42, Discriminating Tests: 15845
Points removed: 43, Discriminating Tests: 16296
Points removed: 44, Discriminating Tests: 16464
Points removed: 45, Discriminating Tests: 16306
Points removed: 46, Discriminating Tests: 16150
Points removed: 47, Discriminating Tests: 17115
Points removed: 48, Discriminating Tests: 17347
Points removed: 49, Discriminating Tests: 17069
Points removed: 50, Discriminating Tests: 18697
Points removed: 51, Discriminating Tests: 17336
Points removed: 52, Discriminating Tests: 17390
Points removed: 53, Discriminating Tests: 17702
Points removed: 54, Discriminating Tests: 17973
Points removed: 55, Discriminating Tests: 18268
Points removed: 56, Discriminating Tests: 18777
Points removed: 57, Discriminating Tests: 19962
Points removed: 58, Discriminating Tests: 19070
Points removed: 59, Discriminating Tests: 19290
Points removed: 60, Discriminating Tests: 19864
Points removed: 61, Discriminating Tests: 19539
Points removed: 62, Discriminating Tests: 20179
Points removed: 63, Discriminating Tests: 20950
Points removed: 64, Discriminating Tests: 21201
Points removed: 65, Discriminating Tests: 20705
Points removed: 66, Discriminating Tests: 22397
Points removed: 67, Discriminating Tests: 22167
Points removed: 68, Discriminating Tests: 23624
Points removed: 69, Discriminating Tests: 23158
Points removed: 70, Discriminating Tests: 23640
Points removed: 71, Discriminating Tests: 23571
Points removed: 72, Discriminating Tests: 23940
Points removed: 73, Discriminating Tests: 23689
Points removed: 74, Discriminating Tests: 24422
Points removed: 75, Discriminating Tests: 25097
Points removed: 76, Discriminating Tests: 25778
Points removed: 77, Discriminating Tests: 24986
Points removed: 78, Discriminating Tests: 25260
Points removed: 79, Discriminating Tests: 25774
