Points removed: 0, Discriminating Tests: 8766
Points removed: 1, Discriminating Tests: 9219
Points removed: 2, Discriminating Tests: 8266
Points removed: 3, Discriminating Tests: 8209
Points removed: 4, Discriminating Tests: 10803
Points removed: 5, Discriminating Tests: 9972
Points removed: 6, Discriminating Tests: 8883
Points removed: 7, Discriminating Tests: 9139
Points removed: 8, Discriminating Tests: 9291
Points removed: 9, Discriminating Tests: 9908
Points removed: 10, Discriminating Tests: 8961
Points removed: 11, Discriminating Tests: 8486
Points removed: 12, Discriminating Tests: 8635
Points removed: 13, Discriminating Tests: 9916
Points removed: 14, Discriminating Tests: 8766
Points removed: 15, Discriminating Tests: 10166
Points removed: 16, Discriminating Tests: 9612
Points removed: 17, Discriminating Tests: 10240
Points removed: 18, Discriminating Tests: 9324
Points removed: 19, Discriminating Tests: 10314
Points removed: 20, Discriminating Tests: 10598
Points removed: 21, Discriminating Tests: 10699
Points removed: 22, Discriminating Tests: 11026
Points removed: 23, Discriminating Tests: 10105
Points removed: 24, Discriminating Tests: 11531
Points removed: 25, Discriminating Tests: 11309
Points removed: 26, Discriminating Tests: 10968
Points removed: 27, Discriminating Tests: 11902
Points removed: 28, Discriminating Tests: 10675
Points removed: 29, Discriminating Tests: 12416
Points removed: 30, Discriminating Tests: 12836
Points removed: 31, Discriminating Tests: 12976
Points removed: 32, Discriminating Tests: 12764
Points removed: 33, Discriminating Tests: 13778
Points removed: 34, Discriminating Tests: 13909
Points removed: 35, Discriminating Tests: 14622
Points removed: 36, Discriminating Tests: 14013
Points removed: 37, Discriminating Tests: 14327
Points removed: 38, Discriminating Tests: 14796
Points removed: 39, Discriminating Tests: 14562
Points removed: 40, Discriminating Tests: 14510
Points removed: 41, Discriminating Tests: 14634
Points removed: 42, Discriminating Tests: 13364
Points removed: 43, Discriminating Tests: 13978
Points removed: 44, Discriminating Tests: 14263
Points removed: 45, Discriminating Tests: 14886
Points removed: 46, Discriminating Tests: 14254
Points removed: 47, Discriminating Tests: 15295
Points removed: 48, Discriminating Tests: 14258
Points removed: 49, Discriminating Tests: 14701
Points removed: 50, Discriminating Tests: 14761
Points removed: 51, Discriminating Tests: 16066
Points removed: 52, Discriminating Tests: 15409
Points removed: 53, Discriminating Tests: 16171
Points removed: 54, Discriminating Tests: 16516
Points removed: 55, Discriminating Tests: 16143
Points removed: 56, Discriminating Tests: 16335
Points removed: 57, Discriminating Tests: 16266
Points removed: 58, Discriminating Tests: 16259
Points removed: 59, Discriminating Tests: 16245
Points removed: 60, Discriminating Tests: 17487
Points removed: 61, Discriminating Tests: 17557
Points removed: 62, Discriminating Tests: 18197
Points removed: 63, Discriminating Tests: 16977
Points removed: 64, Discriminating Tests: 18031
Points removed: 65, Discriminating Tests: 17680
Points removed: 66, Discriminating Tests: 17821
Points removed: 67, Discriminating Tests: 17965
Points removed: 68, Discriminating Tests: 17510
Points removed: 69, Discriminating Tests: 18459
Points removed: 70, Discriminating Tests: 18933
Points removed: 71, Discriminating Tests: 19259
Points removed: 72, Discriminating Tests: 19450
Points removed: 73, Discriminating Tests: 19735
Points removed: 74, Discriminating Tests: 19475
Points removed: 75, Discriminating Tests: 19399
Points removed: 76, Discriminating Tests: 19865
Points removed: 77, Discriminating Tests: 19875
Points removed: 78, Discriminating Tests: 20564
Points removed: 79, Discriminating Tests: 20702
