Points removed: 0, Discriminating Tests: 9442
Points removed: 1, Discriminating Tests: 8098
Points removed: 2, Discriminating Tests: 8034
Points removed: 3, Discriminating Tests: 6663
Points removed: 4, Discriminating Tests: 6497
Points removed: 5, Discriminating Tests: 5377
Points removed: 6, Discriminating Tests: 4610
Points removed: 7, Discriminating Tests: 4180
Points removed: 8, Discriminating Tests: 3602
Points removed: 9, Discriminating Tests: 2140
Points removed: 10, Discriminating Tests: 2598
Points removed: 11, Discriminating Tests: 1081
Points removed: 12, Discriminating Tests: 1155
Points removed: 13, Discriminating Tests: 95
Points removed: 14, Discriminating Tests: 174
Points removed: 15, Discriminating Tests: 798
Points removed: 16, Discriminating Tests: 1921
Points removed: 17, Discriminating Tests: 2045
Points removed: 18, Discriminating Tests: 2122
Points removed: 19, Discriminating Tests: 3492
Points removed: 20, Discriminating Tests: 3968
Points removed: 21, Discriminating Tests: 4423
Points removed: 22, Discriminating Tests: 5850
Points removed: 23, Discriminating Tests: 5252
Points removed: 24, Discriminating Tests: 6703
Points removed: 25, Discriminating Tests: 6550
Points removed: 26, Discriminating Tests: 7307
Points removed: 27, Discriminating Tests: 8695
Points removed: 28, Discriminating Tests: 8764
Points removed: 29, Discriminating Tests: 8903
Points removed: 30, Discriminating Tests: 9067
Points removed: 31, Discriminating Tests: 9567
Points removed: 32, Discriminating Tests: 10408
Points removed: 33, Discriminating Tests: 11686
Points removed: 34, Discriminating Tests: 11233
Points removed: 35, Discriminating Tests: 12008
Points removed: 36, Discriminating Tests: 12247
Points removed: 37, Discriminating Tests: 13166
Points removed: 38, Discriminating Tests: 13936
Points removed: 39, Discriminating Tests: 14363
