Points removed: 0, Discriminating Tests: 10887
Points removed: 1, Discriminating Tests: 8656
Points removed: 2, Discriminating Tests: 8058
Points removed: 3, Discriminating Tests: 7888
Points removed: 4, Discriminating Tests: 6000
Points removed: 5, Discriminating Tests: 5672
Points removed: 6, Discriminating Tests: 6267
Points removed: 7, Discriminating Tests: 5215
Points removed: 8, Discriminating Tests: 3966
Points removed: 9, Discriminating Tests: 2623
Points removed: 10, Discriminating Tests: 2482
Points removed: 11, Discriminating Tests: 3254
Points removed: 12, Discriminating Tests: 1294
Points removed: 13, Discriminating Tests: 1270
Points removed: 14, Discriminating Tests: 747
Points removed: 15, Discriminating Tests: 265
Points removed: 16, Discriminating Tests: 213
Points removed: 17, Discriminating Tests: 1367
Points removed: 18, Discriminating Tests: 851
Points removed: 19, Discriminating Tests: 2149
Points removed: 20, Discriminating Tests: 2143
Points removed: 21, Discriminating Tests: 2947
Points removed: 22, Discriminating Tests: 3102
Points removed: 23, Discriminating Tests: 3889
Points removed: 24, Discriminating Tests: 4235
Points removed: 25, Discriminating Tests: 4655
Points removed: 26, Discriminating Tests: 5535
Points removed: 27, Discriminating Tests: 6062
Points removed: 28, Discriminating Tests: 5273
Points removed: 29, Discriminating Tests: 6759
Points removed: 30, Discriminating Tests: 8157
Points removed: 31, Discriminating Tests: 9059
Points removed: 32, Discriminating Tests: 8105
Points removed: 33, Discriminating Tests: 9047
Points removed: 34, Discriminating Tests: 9386
Points removed: 35, Discriminating Tests: 10872
Points removed: 36, Discriminating Tests: 10043
Points removed: 37, Discriminating Tests: 10720
Points removed: 38, Discriminating Tests: 11746
Points removed: 39, Discriminating Tests: 11762
