Points removed: 0, Discriminating Tests: 9690
Points removed: 1, Discriminating Tests: 9064
Points removed: 2, Discriminating Tests: 7905
Points removed: 3, Discriminating Tests: 7729
Points removed: 4, Discriminating Tests: 6066
Points removed: 5, Discriminating Tests: 5316
Points removed: 6, Discriminating Tests: 6078
Points removed: 7, Discriminating Tests: 5072
Points removed: 8, Discriminating Tests: 3980
Points removed: 9, Discriminating Tests: 2657
Points removed: 10, Discriminating Tests: 2303
Points removed: 11, Discriminating Tests: 2980
Points removed: 12, Discriminating Tests: 1401
Points removed: 13, Discriminating Tests: 584
Points removed: 14, Discriminating Tests: 556
Points removed: 15, Discriminating Tests: 154
Points removed: 16, Discriminating Tests: 233
Points removed: 17, Discriminating Tests: 1985
Points removed: 18, Discriminating Tests: 722
Points removed: 19, Discriminating Tests: 2666
Points removed: 20, Discriminating Tests: 2392
Points removed: 21, Discriminating Tests: 4371
Points removed: 22, Discriminating Tests: 3980
Points removed: 23, Discriminating Tests: 4367
Points removed: 24, Discriminating Tests: 4960
Points removed: 25, Discriminating Tests: 4511
Points removed: 26, Discriminating Tests: 6152
Points removed: 27, Discriminating Tests: 6238
Points removed: 28, Discriminating Tests: 6131
Points removed: 29, Discriminating Tests: 7136
Points removed: 30, Discriminating Tests: 8326
Points removed: 31, Discriminating Tests: 9596
Points removed: 32, Discriminating Tests: 8498
Points removed: 33, Discriminating Tests: 9032
Points removed: 34, Discriminating Tests: 10272
Points removed: 35, Discriminating Tests: 11237
Points removed: 36, Discriminating Tests: 10287
Points removed: 37, Discriminating Tests: 10891
Points removed: 38, Discriminating Tests: 11419
Points removed: 39, Discriminating Tests: 11216
