Points removed: 0, Discriminating Tests: 8052
Points removed: 1, Discriminating Tests: 7099
Points removed: 2, Discriminating Tests: 6222
Points removed: 3, Discriminating Tests: 5954
Points removed: 4, Discriminating Tests: 4416
Points removed: 5, Discriminating Tests: 3453
Points removed: 6, Discriminating Tests: 3972
Points removed: 7, Discriminating Tests: 3229
Points removed: 8, Discriminating Tests: 1842
Points removed: 9, Discriminating Tests: 477
Points removed: 10, Discriminating Tests: 310
Points removed: 11, Discriminating Tests: 109
Points removed: 12, Discriminating Tests: 1385
Points removed: 13, Discriminating Tests: 1534
Points removed: 14, Discriminating Tests: 2148
Points removed: 15, Discriminating Tests: 2784
Points removed: 16, Discriminating Tests: 2447
Points removed: 17, Discriminating Tests: 4037
Points removed: 18, Discriminating Tests: 3677
Points removed: 19, Discriminating Tests: 4741
Points removed: 20, Discriminating Tests: 5231
Points removed: 21, Discriminating Tests: 6603
Points removed: 22, Discriminating Tests: 6199
Points removed: 23, Discriminating Tests: 7134
Points removed: 24, Discriminating Tests: 8106
Points removed: 25, Discriminating Tests: 7545
Points removed: 26, Discriminating Tests: 8834
Points removed: 27, Discriminating Tests: 8918
Points removed: 28, Discriminating Tests: 8374
Points removed: 29, Discriminating Tests: 9645
Points removed: 30, Discriminating Tests: 10627
Points removed: 31, Discriminating Tests: 11555
Points removed: 32, Discriminating Tests: 11305
Points removed: 33, Discriminating Tests: 12045
Points removed: 34, Discriminating Tests: 12231
Points removed: 35, Discriminating Tests: 13683
Points removed: 36, Discriminating Tests: 12677
Points removed: 37, Discriminating Tests: 14182
Points removed: 38, Discriminating Tests: 14581
Points removed: 39, Discriminating Tests: 14314
