Points removed: 0, Discriminating Tests: 15646
Points removed: 1, Discriminating Tests: 14279
Points removed: 2, Discriminating Tests: 14000
Points removed: 3, Discriminating Tests: 13093
Points removed: 4, Discriminating Tests: 11875
Points removed: 5, Discriminating Tests: 11279
Points removed: 6, Discriminating Tests: 11566
Points removed: 7, Discriminating Tests: 10755
Points removed: 8, Discriminating Tests: 8897
Points removed: 9, Discriminating Tests: 7835
Points removed: 10, Discriminating Tests: 7174
Points removed: 11, Discriminating Tests: 7982
Points removed: 12, Discriminating Tests: 6687
Points removed: 13, Discriminating Tests: 6188
Points removed: 14, Discriminating Tests: 5333
Points removed: 15, Discriminating Tests: 4799
Points removed: 16, Discriminating Tests: 4896
Points removed: 17, Discriminating Tests: 2798
Points removed: 18, Discriminating Tests: 3711
Points removed: 19, Discriminating Tests: 1762
Points removed: 20, Discriminating Tests: 1972
Points removed: 21, Discriminating Tests: 743
Points removed: 22, Discriminating Tests: 612
Points removed: 23, Discriminating Tests: 217
Points removed: 24, Discriminating Tests: 704
Points removed: 25, Discriminating Tests: 456
Points removed: 26, Discriminating Tests: 1791
Points removed: 27, Discriminating Tests: 1735
Points removed: 28, Discriminating Tests: 1257
Points removed: 29, Discriminating Tests: 1749
Points removed: 30, Discriminating Tests: 3520
Points removed: 31, Discriminating Tests: 4576
Points removed: 32, Discriminating Tests: 3950
Points removed: 33, Discriminating Tests: 4638
Points removed: 34, Discriminating Tests: 5142
Points removed: 35, Discriminating Tests: 6260
Points removed: 36, Discriminating Tests: 5001
Points removed: 37, Discriminating Tests: 5790
Points removed: 38, Discriminating Tests: 6384
Points removed: 39, Discriminating Tests: 6397
Points removed: 40, Discriminating Tests: 7120
Points removed: 41, Discriminating Tests: 7738
Points removed: 42, Discriminating Tests: 7663
Points removed: 43, Discriminating Tests: 8992
Points removed: 44, Discriminating Tests: 9552
