Points removed: 0, Discriminating Tests: 7622
Points removed: 1, Discriminating Tests: 6939
Points removed: 2, Discriminating Tests: 6161
Points removed: 3, Discriminating Tests: 5283
Points removed: 4, Discriminating Tests: 5220
Points removed: 5, Discriminating Tests: 3885
Points removed: 6, Discriminating Tests: 2806
Points removed: 7, Discriminating Tests: 2365
Points removed: 8, Discriminating Tests: 2276
Points removed: 9, Discriminating Tests: 836
Points removed: 10, Discriminating Tests: 1145
Points removed: 11, Discriminating Tests: 1004
Points removed: 12, Discriminating Tests: 319
Points removed: 13, Discriminating Tests: 1792
Points removed: 14, Discriminating Tests: 957
Points removed: 15, Discriminating Tests: 1979
Points removed: 16, Discriminating Tests: 2940
Points removed: 17, Discriminating Tests: 3650
Points removed: 18, Discriminating Tests: 3580
Points removed: 19, Discriminating Tests: 4446
Points removed: 20, Discriminating Tests: 5406
Points removed: 21, Discriminating Tests: 6207
Points removed: 22, Discriminating Tests: 6927
Points removed: 23, Discriminating Tests: 6784
Points removed: 24, Discriminating Tests: 7740
Points removed: 25, Discriminating Tests: 7677
Points removed: 26, Discriminating Tests: 8156
Points removed: 27, Discriminating Tests: 9727
Points removed: 28, Discriminating Tests: 9249
Points removed: 29, Discriminating Tests: 9710
Points removed: 30, Discriminating Tests: 10354
Points removed: 31, Discriminating Tests: 10871
Points removed: 32, Discriminating Tests: 11385
Points removed: 33, Discriminating Tests: 11270
Points removed: 34, Discriminating Tests: 12121
Points removed: 35, Discriminating Tests: 12692
Points removed: 36, Discriminating Tests: 13244
Points removed: 37, Discriminating Tests: 14642
Points removed: 38, Discriminating Tests: 14590
Points removed: 39, Discriminating Tests: 15107
