Points removed: 0, Discriminating Tests: 9964
Points removed: 1, Discriminating Tests: 9201
Points removed: 2, Discriminating Tests: 8586
Points removed: 3, Discriminating Tests: 9283
Points removed: 4, Discriminating Tests: 8481
Points removed: 5, Discriminating Tests: 8427
Points removed: 6, Discriminating Tests: 8836
Points removed: 7, Discriminating Tests: 7786
Points removed: 8, Discriminating Tests: 8062
Points removed: 9, Discriminating Tests: 7799
Points removed: 10, Discriminating Tests: 7627
Points removed: 11, Discriminating Tests: 6474
Points removed: 12, Discriminating Tests: 7037
Points removed: 13, Discriminating Tests: 6626
Points removed: 14, Discriminating Tests: 5983
Points removed: 15, Discriminating Tests: 6836
Points removed: 16, Discriminating Tests: 6040
Points removed: 17, Discriminating Tests: 5576
Points removed: 18, Discriminating Tests: 5631
Points removed: 19, Discriminating Tests: 5301
Points removed: 20, Discriminating Tests: 4391
Points removed: 21, Discriminating Tests: 3919
Points removed: 22, Discriminating Tests: 3854
Points removed: 23, Discriminating Tests: 3846
Points removed: 24, Discriminating Tests: 3546
Points removed: 25, Discriminating Tests: 4085
Points removed: 26, Discriminating Tests: 3412
Points removed: 27, Discriminating Tests: 2179
Points removed: 28, Discriminating Tests: 2229
Points removed: 29, Discriminating Tests: 2262
Points removed: 30, Discriminating Tests: 2461
Points removed: 31, Discriminating Tests: 2114
Points removed: 32, Discriminating Tests: 1763
Points removed: 33, Discriminating Tests: 1904
Points removed: 34, Discriminating Tests: 2125
Points removed: 35, Discriminating Tests: 1878
Points removed: 36, Discriminating Tests: 1497
Points removed: 37, Discriminating Tests: 1129
Points removed: 38, Discriminating Tests: 642
Points removed: 39, Discriminating Tests: 33
