Points removed: 0, Discriminating Tests: 8188
Points removed: 1, Discriminating Tests: 6954
Points removed: 2, Discriminating Tests: 6407
Points removed: 3, Discriminating Tests: 4693
Points removed: 4, Discriminating Tests: 4974
Points removed: 5, Discriminating Tests: 3953
Points removed: 6, Discriminating Tests: 2887
Points removed: 7, Discriminating Tests: 3021
Points removed: 8, Discriminating Tests: 2733
Points removed: 9, Discriminating Tests: 1244
Points removed: 10, Discriminating Tests: 1334
Points removed: 11, Discriminating Tests: 209
Points removed: 12, Discriminating Tests: 142
Points removed: 13, Discriminating Tests: 1370
Points removed: 14, Discriminating Tests: 378
Points removed: 15, Discriminating Tests: 1482
Points removed: 16, Discriminating Tests: 3234
Points removed: 17, Discriminating Tests: 3429
Points removed: 18, Discriminating Tests: 3458
Points removed: 19, Discriminating Tests: 3931
Points removed: 20, Discriminating Tests: 4168
Points removed: 21, Discriminating Tests: 4569
Points removed: 22, Discriminating Tests: 5227
Points removed: 23, Discriminating Tests: 5572
Points removed: 24, Discriminating Tests: 6271
Points removed: 25, Discriminating Tests: 6055
Points removed: 26, Discriminating Tests: 6831
Points removed: 27, Discriminating Tests: 7634
Points removed: 28, Discriminating Tests: 7276
Points removed: 29, Discriminating Tests: 8007
Points removed: 30, Discriminating Tests: 8226
Points removed: 31, Discriminating Tests: 8949
Points removed: 32, Discriminating Tests: 9071
Points removed: 33, Discriminating Tests: 9878
Points removed: 34, Discriminating Tests: 10056
Points removed: 35, Discriminating Tests: 10018
Points removed: 36, Discriminating Tests: 10993
Points removed: 37, Discriminating Tests: 11715
Points removed: 38, Discriminating Tests: 11505
Points removed: 39, Discriminating Tests: 12474
