Points removed: 0, Discriminating Tests: 15913
Points removed: 1, Discriminating Tests: 14935
Points removed: 2, Discriminating Tests: 13621
Points removed: 3, Discriminating Tests: 13538
Points removed: 4, Discriminating Tests: 11546
Points removed: 5, Discriminating Tests: 10598
Points removed: 6, Discriminating Tests: 11447
Points removed: 7, Discriminating Tests: 10512
Points removed: 8, Discriminating Tests: 8770
Points removed: 9, Discriminating Tests: 7827
Points removed: 10, Discriminating Tests: 7051
Points removed: 11, Discriminating Tests: 7833
Points removed: 12, Discriminating Tests: 6267
Points removed: 13, Discriminating Tests: 5901
Points removed: 14, Discriminating Tests: 4937
Points removed: 15, Discriminating Tests: 4626
Points removed: 16, Discriminating Tests: 4480
Points removed: 17, Discriminating Tests: 2927
Points removed: 18, Discriminating Tests: 3589
Points removed: 19, Discriminating Tests: 2108
Points removed: 20, Discriminating Tests: 2170
Points removed: 21, Discriminating Tests: 737
Points removed: 22, Discriminating Tests: 624
Points removed: 23, Discriminating Tests: 67
Points removed: 24, Discriminating Tests: 176
Points removed: 25, Discriminating Tests: 251
Points removed: 26, Discriminating Tests: 1918
Points removed: 27, Discriminating Tests: 2169
Points removed: 28, Discriminating Tests: 1192
Points removed: 29, Discriminating Tests: 2380
Points removed: 30, Discriminating Tests: 3832
Points removed: 31, Discriminating Tests: 4872
Points removed: 32, Discriminating Tests: 4631
Points removed: 33, Discriminating Tests: 5301
Points removed: 34, Discriminating Tests: 5210
Points removed: 35, Discriminating Tests: 6628
Points removed: 36, Discriminating Tests: 5044
Points removed: 37, Discriminating Tests: 5488
Points removed: 38, Discriminating Tests: 6687
Points removed: 39, Discriminating Tests: 6189
