Points removed: 0, Discriminating Tests: 8548
Points removed: 1, Discriminating Tests: 7713
Points removed: 2, Discriminating Tests: 6539
Points removed: 3, Discriminating Tests: 6355
Points removed: 4, Discriminating Tests: 4366
Points removed: 5, Discriminating Tests: 3660
Points removed: 6, Discriminating Tests: 4286
Points removed: 7, Discriminating Tests: 2868
Points removed: 8, Discriminating Tests: 1063
Points removed: 9, Discriminating Tests: 630
Points removed: 10, Discriminating Tests: 201
Points removed: 11, Discriminating Tests: 191
Points removed: 12, Discriminating Tests: 1583
Points removed: 13, Discriminating Tests: 1639
Points removed: 14, Discriminating Tests: 2876
Points removed: 15, Discriminating Tests: 3078
Points removed: 16, Discriminating Tests: 3290
Points removed: 17, Discriminating Tests: 5116
Points removed: 18, Discriminating Tests: 4399
Points removed: 19, Discriminating Tests: 6111
Points removed: 20, Discriminating Tests: 6008
Points removed: 21, Discriminating Tests: 6990
Points removed: 22, Discriminating Tests: 7326
Points removed: 23, Discriminating Tests: 8062
Points removed: 24, Discriminating Tests: 8121
Points removed: 25, Discriminating Tests: 8584
Points removed: 26, Discriminating Tests: 9408
Points removed: 27, Discriminating Tests: 10224
Points removed: 28, Discriminating Tests: 9392
Points removed: 29, Discriminating Tests: 11191
Points removed: 30, Discriminating Tests: 12691
Points removed: 31, Discriminating Tests: 13933
Points removed: 32, Discriminating Tests: 13586
Points removed: 33, Discriminating Tests: 14731
Points removed: 34, Discriminating Tests: 14947
Points removed: 35, Discriminating Tests: 15801
Points removed: 36, Discriminating Tests: 15453
Points removed: 37, Discriminating Tests: 16725
Points removed: 38, Discriminating Tests: 18097
Points removed: 39, Discriminating Tests: 17338
