Points removed: 0, Discriminating Tests: 15361
Points removed: 1, Discriminating Tests: 14538
Points removed: 2, Discriminating Tests: 13647
Points removed: 3, Discriminating Tests: 12831
Points removed: 4, Discriminating Tests: 12304
Points removed: 5, Discriminating Tests: 11412
Points removed: 6, Discriminating Tests: 10448
Points removed: 7, Discriminating Tests: 10319
Points removed: 8, Discriminating Tests: 9826
Points removed: 9, Discriminating Tests: 8284
Points removed: 10, Discriminating Tests: 8389
Points removed: 11, Discriminating Tests: 6384
Points removed: 12, Discriminating Tests: 6933
Points removed: 13, Discriminating Tests: 5674
Points removed: 14, Discriminating Tests: 5917
Points removed: 15, Discriminating Tests: 5226
Points removed: 16, Discriminating Tests: 3789
Points removed: 17, Discriminating Tests: 3672
Points removed: 18, Discriminating Tests: 3504
Points removed: 19, Discriminating Tests: 2317
Points removed: 20, Discriminating Tests: 1637
Points removed: 21, Discriminating Tests: 1038
Points removed: 22, Discriminating Tests: 197
Points removed: 23, Discriminating Tests: 723
Points removed: 24, Discriminating Tests: 835
Points removed: 25, Discriminating Tests: 811
Points removed: 26, Discriminating Tests: 1550
Points removed: 27, Discriminating Tests: 2873
Points removed: 28, Discriminating Tests: 2578
Points removed: 29, Discriminating Tests: 3048
Points removed: 30, Discriminating Tests: 3287
Points removed: 31, Discriminating Tests: 4231
Points removed: 32, Discriminating Tests: 4866
Points removed: 33, Discriminating Tests: 5984
Points removed: 34, Discriminating Tests: 5236
Points removed: 35, Discriminating Tests: 5528
Points removed: 36, Discriminating Tests: 6784
Points removed: 37, Discriminating Tests: 7606
Points removed: 38, Discriminating Tests: 8393
Points removed: 39, Discriminating Tests: 8160
