Points removed: 0, Discriminating Tests: 10921
Points removed: 1, Discriminating Tests: 9543
Points removed: 2, Discriminating Tests: 8506
Points removed: 3, Discriminating Tests: 8088
Points removed: 4, Discriminating Tests: 6208
Points removed: 5, Discriminating Tests: 4884
Points removed: 6, Discriminating Tests: 5617
Points removed: 7, Discriminating Tests: 5308
Points removed: 8, Discriminating Tests: 3698
Points removed: 9, Discriminating Tests: 2218
Points removed: 10, Discriminating Tests: 1647
Points removed: 11, Discriminating Tests: 2566
Points removed: 12, Discriminating Tests: 1718
Points removed: 13, Discriminating Tests: 661
Points removed: 14, Discriminating Tests: 155
Points removed: 15, Discriminating Tests: 35
Points removed: 16, Discriminating Tests: 335
Points removed: 17, Discriminating Tests: 1866
Points removed: 18, Discriminating Tests: 1116
Points removed: 19, Discriminating Tests: 1647
Points removed: 20, Discriminating Tests: 2346
Points removed: 21, Discriminating Tests: 3981
Points removed: 22, Discriminating Tests: 4132
Points removed: 23, Discriminating Tests: 3858
Points removed: 24, Discriminating Tests: 4696
Points removed: 25, Discriminating Tests: 4822
Points removed: 26, Discriminating Tests: 5780
Points removed: 27, Discriminating Tests: 6236
Points removed: 28, Discriminating Tests: 5968
Points removed: 29, Discriminating Tests: 6900
Points removed: 30, Discriminating Tests: 8519
Points removed: 31, Discriminating Tests: 8834
Points removed: 32, Discriminating Tests: 8714
Points removed: 33, Discriminating Tests: 9389
Points removed: 34, Discriminating Tests: 10013
Points removed: 35, Discriminating Tests: 10971
Points removed: 36, Discriminating Tests: 10675
Points removed: 37, Discriminating Tests: 11127
Points removed: 38, Discriminating Tests: 12057
Points removed: 39, Discriminating Tests: 12110
