Points removed: 0, Discriminating Tests: 8689
Points removed: 1, Discriminating Tests: 7668
Points removed: 2, Discriminating Tests: 6697
Points removed: 3, Discriminating Tests: 5948
Points removed: 4, Discriminating Tests: 4479
Points removed: 5, Discriminating Tests: 3957
Points removed: 6, Discriminating Tests: 3991
Points removed: 7, Discriminating Tests: 3248
Points removed: 8, Discriminating Tests: 1856
Points removed: 9, Discriminating Tests: 726
Points removed: 10, Discriminating Tests: 389
Points removed: 11, Discriminating Tests: 1222
Points removed: 12, Discriminating Tests: 267
Points removed: 13, Discriminating Tests: 850
Points removed: 14, Discriminating Tests: 1205
Points removed: 15, Discriminating Tests: 1800
Points removed: 16, Discriminating Tests: 2080
Points removed: 17, Discriminating Tests: 3422
Points removed: 18, Discriminating Tests: 2770
Points removed: 19, Discriminating Tests: 4340
Points removed: 20, Discriminating Tests: 4583
Points removed: 21, Discriminating Tests: 5317
Points removed: 22, Discriminating Tests: 5629
Points removed: 23, Discriminating Tests: 6101
Points removed: 24, Discriminating Tests: 6828
Points removed: 25, Discriminating Tests: 6389
Points removed: 26, Discriminating Tests: 7680
Points removed: 27, Discriminating Tests: 7909
Points removed: 28, Discriminating Tests: 7502
Points removed: 29, Discriminating Tests: 8495
Points removed: 30, Discriminating Tests: 8722
Points removed: 31, Discriminating Tests: 9367
Points removed: 32, Discriminating Tests: 9162
Points removed: 33, Discriminating Tests: 9980
Points removed: 34, Discriminating Tests: 10090
Points removed: 35, Discriminating Tests: 10713
Points removed: 36, Discriminating Tests: 10212
Points removed: 37, Discriminating Tests: 11205
Points removed: 38, Discriminating Tests: 12259
Points removed: 39, Discriminating Tests: 12224
