Points removed: 0, Discriminating Tests: 8906
Points removed: 1, Discriminating Tests: 9249
Points removed: 2, Discriminating Tests: 8615
Points removed: 3, Discriminating Tests: 8580
Points removed: 4, Discriminating Tests: 9458
Points removed: 5, Discriminating Tests: 9640
Points removed: 6, Discriminating Tests: 9974
Points removed: 7, Discriminating Tests: 9294
Points removed: 8, Discriminating Tests: 9509
Points removed: 9, Discriminating Tests: 9973
Points removed: 10, Discriminating Tests: 10148
Points removed: 11, Discriminating Tests: 10201
Points removed: 12, Discriminating Tests: 10709
Points removed: 13, Discriminating Tests: 10817
Points removed: 14, Discriminating Tests: 10091
Points removed: 15, Discriminating Tests: 9914
Points removed: 16, Discriminating Tests: 9624
Points removed: 17, Discriminating Tests: 10062
Points removed: 18, Discriminating Tests: 9502
Points removed: 19, Discriminating Tests: 9862
Points removed: 20, Discriminating Tests: 9488
Points removed: 21, Discriminating Tests: 10085
Points removed: 22, Discriminating Tests: 10174
Points removed: 23, Discriminating Tests: 9950
Points removed: 24, Discriminating Tests: 11599
Points removed: 25, Discriminating Tests: 11714
Points removed: 26, Discriminating Tests: 12233
Points removed: 27, Discriminating Tests: 11212
Points removed: 28, Discriminating Tests: 11619
Points removed: 29, Discriminating Tests: 11342
Points removed: 30, Discriminating Tests: 12289
Points removed: 31, Discriminating Tests: 13704
Points removed: 32, Discriminating Tests: 12105
Points removed: 33, Discriminating Tests: 12524
Points removed: 34, Discriminating Tests: 12769
Points removed: 35, Discriminating Tests: 13628
Points removed: 36, Discriminating Tests: 13270
Points removed: 37, Discriminating Tests: 13738
Points removed: 38, Discriminating Tests: 13930
Points removed: 39, Discriminating Tests: 13160
Points removed: 40, Discriminating Tests: 13167
Points removed: 41, Discriminating Tests: 13840
Points removed: 42, Discriminating Tests: 13066
Points removed: 43, Discriminating Tests: 13320
Points removed: 44, Discriminating Tests: 13850
Points removed: 45, Discriminating Tests: 14061
Points removed: 46, Discriminating Tests: 14277
Points removed: 47, Discriminating Tests: 15110
Points removed: 48, Discriminating Tests: 14668
Points removed: 49, Discriminating Tests: 14665
Points removed: 50, Discriminating Tests: 14889
Points removed: 51, Discriminating Tests: 15570
Points removed: 52, Discriminating Tests: 14994
Points removed: 53, Discriminating Tests: 15833
Points removed: 54, Discriminating Tests: 16426
Points removed: 55, Discriminating Tests: 14985
Points removed: 56, Discriminating Tests: 16212
Points removed: 57, Discriminating Tests: 16910
Points removed: 58, Discriminating Tests: 17483
Points removed: 59, Discriminating Tests: 17512
Points removed: 60, Discriminating Tests: 17503
Points removed: 61, Discriminating Tests: 17432
Points removed: 62, Discriminating Tests: 17758
Points removed: 63, Discriminating Tests: 17672
Points removed: 64, Discriminating Tests: 18563
Points removed: 65, Discriminating Tests: 18962
Points removed: 66, Discriminating Tests: 18137
Points removed: 67, Discriminating Tests: 18929
Points removed: 68, Discriminating Tests: 18612
Points removed: 69, Discriminating Tests: 19866
Points removed: 70, Discriminating Tests: 20219
Points removed: 71, Discriminating Tests: 19046
Points removed: 72, Discriminating Tests: 16809
Points removed: 73, Discriminating Tests: 18103
Points removed: 74, Discriminating Tests: 17633
Points removed: 75, Discriminating Tests: 18356
Points removed: 76, Discriminating Tests: 18777
Points removed: 77, Discriminating Tests: 19043
Points removed: 78, Discriminating Tests: 19186
Points removed: 79, Discriminating Tests: 18853
Points removed: 80, Discriminating Tests: 19358
Points removed: 81, Discriminating Tests: 19827
Points removed: 82, Discriminating Tests: 19818
Points removed: 83, Discriminating Tests: 20513
Points removed: 84, Discriminating Tests: 20080
Points removed: 85, Discriminating Tests: 21294
Points removed: 86, Discriminating Tests: 21226
Points removed: 87, Discriminating Tests: 22097
Points removed: 88, Discriminating Tests: 22254
Points removed: 89, Discriminating Tests: 22231
Points removed: 90, Discriminating Tests: 22614
Points removed: 91, Discriminating Tests: 22464
Points removed: 92, Discriminating Tests: 22359
Points removed: 93, Discriminating Tests: 22612
Points removed: 94, Discriminating Tests: 23070
Points removed: 95, Discriminating Tests: 23028
Points removed: 96, Discriminating Tests: 22853
Points removed: 97, Discriminating Tests: 23468
Points removed: 98, Discriminating Tests: 22987
Points removed: 99, Discriminating Tests: 23926
