Points removed: 0, Discriminating Tests: 9979
Points removed: 1, Discriminating Tests: 9798
Points removed: 2, Discriminating Tests: 9060
Points removed: 3, Discriminating Tests: 9825
Points removed: 4, Discriminating Tests: 8858
Points removed: 5, Discriminating Tests: 8151
Points removed: 6, Discriminating Tests: 7595
Points removed: 7, Discriminating Tests: 9008
Points removed: 8, Discriminating Tests: 8103
Points removed: 9, Discriminating Tests: 8348
Points removed: 10, Discriminating Tests: 8854
Points removed: 11, Discriminating Tests: 8490
Points removed: 12, Discriminating Tests: 8768
Points removed: 13, Discriminating Tests: 8071
Points removed: 14, Discriminating Tests: 8707
Points removed: 15, Discriminating Tests: 8785
Points removed: 16, Discriminating Tests: 8783
Points removed: 17, Discriminating Tests: 8290
Points removed: 18, Discriminating Tests: 9062
Points removed: 19, Discriminating Tests: 8619
Points removed: 20, Discriminating Tests: 8560
Points removed: 21, Discriminating Tests: 7638
Points removed: 22, Discriminating Tests: 7396
Points removed: 23, Discriminating Tests: 7435
Points removed: 24, Discriminating Tests: 7143
Points removed: 25, Discriminating Tests: 7586
Points removed: 26, Discriminating Tests: 7129
Points removed: 27, Discriminating Tests: 6682
Points removed: 28, Discriminating Tests: 7369
Points removed: 29, Discriminating Tests: 6359
Points removed: 30, Discriminating Tests: 5778
Points removed: 31, Discriminating Tests: 5792
Points removed: 32, Discriminating Tests: 7173
Points removed: 33, Discriminating Tests: 7026
Points removed: 34, Discriminating Tests: 6353
Points removed: 35, Discriminating Tests: 6876
Points removed: 36, Discriminating Tests: 7138
Points removed: 37, Discriminating Tests: 6538
Points removed: 38, Discriminating Tests: 6152
Points removed: 39, Discriminating Tests: 6500
