Points removed: 0, Discriminating Tests: 8032
Points removed: 1, Discriminating Tests: 7864
Points removed: 2, Discriminating Tests: 8555
Points removed: 3, Discriminating Tests: 8230
Points removed: 4, Discriminating Tests: 7819
Points removed: 5, Discriminating Tests: 8386
Points removed: 6, Discriminating Tests: 8267
Points removed: 7, Discriminating Tests: 8325
Points removed: 8, Discriminating Tests: 8056
Points removed: 9, Discriminating Tests: 6950
Points removed: 10, Discriminating Tests: 7645
Points removed: 11, Discriminating Tests: 7298
Points removed: 12, Discriminating Tests: 7109
Points removed: 13, Discriminating Tests: 7371
Points removed: 14, Discriminating Tests: 6250
Points removed: 15, Discriminating Tests: 5827
Points removed: 16, Discriminating Tests: 7251
Points removed: 17, Discriminating Tests: 4888
Points removed: 18, Discriminating Tests: 6397
Points removed: 19, Discriminating Tests: 6590
Points removed: 20, Discriminating Tests: 7099
Points removed: 21, Discriminating Tests: 5292
Points removed: 22, Discriminating Tests: 5622
Points removed: 23, Discriminating Tests: 5145
Points removed: 24, Discriminating Tests: 4743
Points removed: 25, Discriminating Tests: 4730
Points removed: 26, Discriminating Tests: 4607
Points removed: 27, Discriminating Tests: 4617
Points removed: 28, Discriminating Tests: 4882
Points removed: 29, Discriminating Tests: 4839
Points removed: 30, Discriminating Tests: 4638
Points removed: 31, Discriminating Tests: 4902
Points removed: 32, Discriminating Tests: 3960
Points removed: 33, Discriminating Tests: 4100
Points removed: 34, Discriminating Tests: 3783
Points removed: 35, Discriminating Tests: 3532
Points removed: 36, Discriminating Tests: 3894
Points removed: 37, Discriminating Tests: 3810
Points removed: 38, Discriminating Tests: 3529
Points removed: 39, Discriminating Tests: 3450
Points removed: 40, Discriminating Tests: 3717
Points removed: 41, Discriminating Tests: 4325
Points removed: 42, Discriminating Tests: 3980
Points removed: 43, Discriminating Tests: 3733
Points removed: 44, Discriminating Tests: 3593
Points removed: 45, Discriminating Tests: 3692
Points removed: 46, Discriminating Tests: 2913
Points removed: 47, Discriminating Tests: 2957
Points removed: 48, Discriminating Tests: 3149
Points removed: 49, Discriminating Tests: 2787
Points removed: 50, Discriminating Tests: 2450
Points removed: 51, Discriminating Tests: 3142
Points removed: 52, Discriminating Tests: 3139
Points removed: 53, Discriminating Tests: 3082
Points removed: 54, Discriminating Tests: 3278
Points removed: 55, Discriminating Tests: 3929
Points removed: 56, Discriminating Tests: 3799
Points removed: 57, Discriminating Tests: 2700
Points removed: 58, Discriminating Tests: 2250
Points removed: 59, Discriminating Tests: 2437
Points removed: 60, Discriminating Tests: 2392
Points removed: 61, Discriminating Tests: 2493
Points removed: 62, Discriminating Tests: 2554
Points removed: 63, Discriminating Tests: 1945
Points removed: 64, Discriminating Tests: 2083
Points removed: 65, Discriminating Tests: 1585
Points removed: 66, Discriminating Tests: 2426
Points removed: 67, Discriminating Tests: 1902
Points removed: 68, Discriminating Tests: 2237
Points removed: 69, Discriminating Tests: 1888
Points removed: 70, Discriminating Tests: 1819
Points removed: 71, Discriminating Tests: 1618
Points removed: 72, Discriminating Tests: 1975
Points removed: 73, Discriminating Tests: 1739
Points removed: 74, Discriminating Tests: 2195
Points removed: 75, Discriminating Tests: 1994
Points removed: 76, Discriminating Tests: 2361
Points removed: 77, Discriminating Tests: 1702
Points removed: 78, Discriminating Tests: 1771
Points removed: 79, Discriminating Tests: 2077
