Points removed: 0, Discriminating Tests: 9700
Points removed: 1, Discriminating Tests: 9559
Points removed: 2, Discriminating Tests: 8956
Points removed: 3, Discriminating Tests: 9435
Points removed: 4, Discriminating Tests: 11093
Points removed: 5, Discriminating Tests: 10084
Points removed: 6, Discriminating Tests: 10088
Points removed: 7, Discriminating Tests: 9967
Points removed: 8, Discriminating Tests: 10383
Points removed: 9, Discriminating Tests: 10599
Points removed: 10, Discriminating Tests: 10759
Points removed: 11, Discriminating Tests: 9888
Points removed: 12, Discriminating Tests: 9559
Points removed: 13, Discriminating Tests: 10766
Points removed: 14, Discriminating Tests: 10706
Points removed: 15, Discriminating Tests: 10643
Points removed: 16, Discriminating Tests: 9585
Points removed: 17, Discriminating Tests: 11860
Points removed: 18, Discriminating Tests: 10154
Points removed: 19, Discriminating Tests: 11057
Points removed: 20, Discriminating Tests: 12001
Points removed: 21, Discriminating Tests: 11911
Points removed: 22, Discriminating Tests: 12355
Points removed: 23, Discriminating Tests: 11744
Points removed: 24, Discriminating Tests: 13363
Points removed: 25, Discriminating Tests: 12384
Points removed: 26, Discriminating Tests: 13190
Points removed: 27, Discriminating Tests: 12552
Points removed: 28, Discriminating Tests: 12564
Points removed: 29, Discriminating Tests: 12683
Points removed: 30, Discriminating Tests: 13652
Points removed: 31, Discriminating Tests: 13453
Points removed: 32, Discriminating Tests: 13376
Points removed: 33, Discriminating Tests: 13369
Points removed: 34, Discriminating Tests: 14267
Points removed: 35, Discriminating Tests: 15382
Points removed: 36, Discriminating Tests: 15161
Points removed: 37, Discriminating Tests: 15076
Points removed: 38, Discriminating Tests: 15316
Points removed: 39, Discriminating Tests: 15473
Points removed: 40, Discriminating Tests: 14559
Points removed: 41, Discriminating Tests: 15547
Points removed: 42, Discriminating Tests: 15569
Points removed: 43, Discriminating Tests: 16003
Points removed: 44, Discriminating Tests: 16151
