Points removed: 0, Discriminating Tests: 9901
Points removed: 1, Discriminating Tests: 9110
Points removed: 2, Discriminating Tests: 10337
Points removed: 3, Discriminating Tests: 10266
Points removed: 4, Discriminating Tests: 10423
Points removed: 5, Discriminating Tests: 10619
Points removed: 6, Discriminating Tests: 9862
Points removed: 7, Discriminating Tests: 9946
Points removed: 8, Discriminating Tests: 9415
Points removed: 9, Discriminating Tests: 11153
Points removed: 10, Discriminating Tests: 10621
Points removed: 11, Discriminating Tests: 9666
Points removed: 12, Discriminating Tests: 9877
Points removed: 13, Discriminating Tests: 9927
Points removed: 14, Discriminating Tests: 10805
Points removed: 15, Discriminating Tests: 10925
Points removed: 16, Discriminating Tests: 11017
Points removed: 17, Discriminating Tests: 11531
Points removed: 18, Discriminating Tests: 10845
Points removed: 19, Discriminating Tests: 12242
Points removed: 20, Discriminating Tests: 11671
Points removed: 21, Discriminating Tests: 12384
Points removed: 22, Discriminating Tests: 12666
Points removed: 23, Discriminating Tests: 12664
Points removed: 24, Discriminating Tests: 13190
Points removed: 25, Discriminating Tests: 12322
Points removed: 26, Discriminating Tests: 13752
Points removed: 27, Discriminating Tests: 12793
Points removed: 28, Discriminating Tests: 12735
Points removed: 29, Discriminating Tests: 12822
Points removed: 30, Discriminating Tests: 13711
Points removed: 31, Discriminating Tests: 14077
Points removed: 32, Discriminating Tests: 14172
Points removed: 33, Discriminating Tests: 14319
Points removed: 34, Discriminating Tests: 14469
Points removed: 35, Discriminating Tests: 14802
Points removed: 36, Discriminating Tests: 14040
Points removed: 37, Discriminating Tests: 14836
Points removed: 38, Discriminating Tests: 15496
Points removed: 39, Discriminating Tests: 14743
Points removed: 40, Discriminating Tests: 15230
Points removed: 41, Discriminating Tests: 14995
Points removed: 42, Discriminating Tests: 14128
Points removed: 43, Discriminating Tests: 15399
Points removed: 44, Discriminating Tests: 16483
Points removed: 45, Discriminating Tests: 16517
Points removed: 46, Discriminating Tests: 17248
Points removed: 47, Discriminating Tests: 16431
Points removed: 48, Discriminating Tests: 15241
Points removed: 49, Discriminating Tests: 15937
Points removed: 50, Discriminating Tests: 15180
Points removed: 51, Discriminating Tests: 16732
Points removed: 52, Discriminating Tests: 16666
Points removed: 53, Discriminating Tests: 17010
Points removed: 54, Discriminating Tests: 17122
Points removed: 55, Discriminating Tests: 17556
Points removed: 56, Discriminating Tests: 17364
Points removed: 57, Discriminating Tests: 17912
Points removed: 58, Discriminating Tests: 17850
Points removed: 59, Discriminating Tests: 17770
Points removed: 60, Discriminating Tests: 18759
Points removed: 61, Discriminating Tests: 18971
Points removed: 62, Discriminating Tests: 19064
Points removed: 63, Discriminating Tests: 18635
Points removed: 64, Discriminating Tests: 18596
Points removed: 65, Discriminating Tests: 19007
Points removed: 66, Discriminating Tests: 19222
Points removed: 67, Discriminating Tests: 18349
Points removed: 68, Discriminating Tests: 18265
Points removed: 69, Discriminating Tests: 19289
Points removed: 70, Discriminating Tests: 19038
Points removed: 71, Discriminating Tests: 19083
Points removed: 72, Discriminating Tests: 18273
Points removed: 73, Discriminating Tests: 18962
Points removed: 74, Discriminating Tests: 18998
Points removed: 75, Discriminating Tests: 19804
Points removed: 76, Discriminating Tests: 19742
Points removed: 77, Discriminating Tests: 19826
Points removed: 78, Discriminating Tests: 19711
Points removed: 79, Discriminating Tests: 19757
