Points removed: 0, Discriminating Tests: 8511
Points removed: 1, Discriminating Tests: 8200
Points removed: 2, Discriminating Tests: 6108
Points removed: 3, Discriminating Tests: 4148
Points removed: 4, Discriminating Tests: 4322
Points removed: 5, Discriminating Tests: 3858
Points removed: 6, Discriminating Tests: 3874
Points removed: 7, Discriminating Tests: 4060
Points removed: 8, Discriminating Tests: 3428
Points removed: 9, Discriminating Tests: 3409
Points removed: 10, Discriminating Tests: 2486
Points removed: 11, Discriminating Tests: 3112
Points removed: 12, Discriminating Tests: 3081
Points removed: 13, Discriminating Tests: 3590
Points removed: 14, Discriminating Tests: 3130
Points removed: 15, Discriminating Tests: 3356
Points removed: 16, Discriminating Tests: 3123
Points removed: 17, Discriminating Tests: 3343
Points removed: 18, Discriminating Tests: 3374
Points removed: 19, Discriminating Tests: 2979
Points removed: 20, Discriminating Tests: 3294
Points removed: 21, Discriminating Tests: 3221
Points removed: 22, Discriminating Tests: 3459
Points removed: 23, Discriminating Tests: 3537
Points removed: 24, Discriminating Tests: 3632
Points removed: 25, Discriminating Tests: 3093
Points removed: 26, Discriminating Tests: 3183
Points removed: 27, Discriminating Tests: 3078
Points removed: 28, Discriminating Tests: 3497
Points removed: 29, Discriminating Tests: 3530
Points removed: 30, Discriminating Tests: 3142
Points removed: 31, Discriminating Tests: 3640
Points removed: 32, Discriminating Tests: 3255
Points removed: 33, Discriminating Tests: 2833
Points removed: 34, Discriminating Tests: 3480
Points removed: 35, Discriminating Tests: 3373
Points removed: 36, Discriminating Tests: 2781
Points removed: 37, Discriminating Tests: 3181
Points removed: 38, Discriminating Tests: 2559
Points removed: 39, Discriminating Tests: 2877
