Points removed: 0, Discriminating Tests: 10811
Points removed: 1, Discriminating Tests: 8932
Points removed: 2, Discriminating Tests: 7745
Points removed: 3, Discriminating Tests: 7925
Points removed: 4, Discriminating Tests: 6518
Points removed: 5, Discriminating Tests: 5902
Points removed: 6, Discriminating Tests: 5923
Points removed: 7, Discriminating Tests: 5208
Points removed: 8, Discriminating Tests: 3791
Points removed: 9, Discriminating Tests: 2846
Points removed: 10, Discriminating Tests: 2104
Points removed: 11, Discriminating Tests: 2752
Points removed: 12, Discriminating Tests: 1470
Points removed: 13, Discriminating Tests: 1196
Points removed: 14, Discriminating Tests: 598
Points removed: 15, Discriminating Tests: 356
Points removed: 16, Discriminating Tests: 24
Points removed: 17, Discriminating Tests: 752
Points removed: 18, Discriminating Tests: 411
Points removed: 19, Discriminating Tests: 2450
Points removed: 20, Discriminating Tests: 2020
Points removed: 21, Discriminating Tests: 3085
Points removed: 22, Discriminating Tests: 3255
Points removed: 23, Discriminating Tests: 4393
Points removed: 24, Discriminating Tests: 4461
Points removed: 25, Discriminating Tests: 4883
Points removed: 26, Discriminating Tests: 5536
Points removed: 27, Discriminating Tests: 5877
Points removed: 28, Discriminating Tests: 5573
Points removed: 29, Discriminating Tests: 6610
Points removed: 30, Discriminating Tests: 7689
Points removed: 31, Discriminating Tests: 8849
Points removed: 32, Discriminating Tests: 8009
Points removed: 33, Discriminating Tests: 8711
Points removed: 34, Discriminating Tests: 9879
Points removed: 35, Discriminating Tests: 10790
Points removed: 36, Discriminating Tests: 9593
Points removed: 37, Discriminating Tests: 10746
Points removed: 38, Discriminating Tests: 12084
Points removed: 39, Discriminating Tests: 11600
