Points removed: 0, Discriminating Tests: 11118
Points removed: 1, Discriminating Tests: 10739
Points removed: 2, Discriminating Tests: 10013
Points removed: 3, Discriminating Tests: 10937
Points removed: 4, Discriminating Tests: 10697
Points removed: 5, Discriminating Tests: 10993
Points removed: 6, Discriminating Tests: 10724
Points removed: 7, Discriminating Tests: 10747
Points removed: 8, Discriminating Tests: 11258
Points removed: 9, Discriminating Tests: 10648
Points removed: 10, Discriminating Tests: 11358
Points removed: 11, Discriminating Tests: 11986
Points removed: 12, Discriminating Tests: 10118
Points removed: 13, Discriminating Tests: 10673
Points removed: 14, Discriminating Tests: 10809
Points removed: 15, Discriminating Tests: 9766
Points removed: 16, Discriminating Tests: 11037
Points removed: 17, Discriminating Tests: 11424
Points removed: 18, Discriminating Tests: 12005
Points removed: 19, Discriminating Tests: 11881
Points removed: 20, Discriminating Tests: 12400
Points removed: 21, Discriminating Tests: 12526
Points removed: 22, Discriminating Tests: 13135
Points removed: 23, Discriminating Tests: 12888
Points removed: 24, Discriminating Tests: 13426
Points removed: 25, Discriminating Tests: 13194
Points removed: 26, Discriminating Tests: 13159
Points removed: 27, Discriminating Tests: 14504
Points removed: 28, Discriminating Tests: 14134
Points removed: 29, Discriminating Tests: 13851
Points removed: 30, Discriminating Tests: 13336
Points removed: 31, Discriminating Tests: 14201
Points removed: 32, Discriminating Tests: 13979
Points removed: 33, Discriminating Tests: 14037
Points removed: 34, Discriminating Tests: 14505
Points removed: 35, Discriminating Tests: 14400
Points removed: 36, Discriminating Tests: 14461
Points removed: 37, Discriminating Tests: 15580
Points removed: 38, Discriminating Tests: 15503
Points removed: 39, Discriminating Tests: 16205
Points removed: 40, Discriminating Tests: 16048
Points removed: 41, Discriminating Tests: 16801
Points removed: 42, Discriminating Tests: 15921
Points removed: 43, Discriminating Tests: 15890
Points removed: 44, Discriminating Tests: 16726
Points removed: 45, Discriminating Tests: 16125
Points removed: 46, Discriminating Tests: 15906
Points removed: 47, Discriminating Tests: 16806
Points removed: 48, Discriminating Tests: 16649
Points removed: 49, Discriminating Tests: 16640
Points removed: 50, Discriminating Tests: 17298
Points removed: 51, Discriminating Tests: 17296
Points removed: 52, Discriminating Tests: 18070
Points removed: 53, Discriminating Tests: 18246
Points removed: 54, Discriminating Tests: 16588
Points removed: 55, Discriminating Tests: 18422
Points removed: 56, Discriminating Tests: 18489
Points removed: 57, Discriminating Tests: 19205
Points removed: 58, Discriminating Tests: 19590
Points removed: 59, Discriminating Tests: 19544
Points removed: 60, Discriminating Tests: 20006
Points removed: 61, Discriminating Tests: 20860
Points removed: 62, Discriminating Tests: 21412
Points removed: 63, Discriminating Tests: 21089
Points removed: 64, Discriminating Tests: 22040
Points removed: 65, Discriminating Tests: 21189
Points removed: 66, Discriminating Tests: 22439
Points removed: 67, Discriminating Tests: 21677
Points removed: 68, Discriminating Tests: 22285
Points removed: 69, Discriminating Tests: 22579
Points removed: 70, Discriminating Tests: 22316
Points removed: 71, Discriminating Tests: 23567
Points removed: 72, Discriminating Tests: 23898
Points removed: 73, Discriminating Tests: 23374
Points removed: 74, Discriminating Tests: 25179
Points removed: 75, Discriminating Tests: 25439
Points removed: 76, Discriminating Tests: 25140
Points removed: 77, Discriminating Tests: 25585
Points removed: 78, Discriminating Tests: 25207
Points removed: 79, Discriminating Tests: 26244
