Points removed: 0, Discriminating Tests: 15234
Points removed: 1, Discriminating Tests: 14720
Points removed: 2, Discriminating Tests: 13699
Points removed: 3, Discriminating Tests: 13241
Points removed: 4, Discriminating Tests: 12569
Points removed: 5, Discriminating Tests: 11223
Points removed: 6, Discriminating Tests: 10367
Points removed: 7, Discriminating Tests: 10246
Points removed: 8, Discriminating Tests: 9881
Points removed: 9, Discriminating Tests: 8359
Points removed: 10, Discriminating Tests: 8229
Points removed: 11, Discriminating Tests: 6508
Points removed: 12, Discriminating Tests: 6836
Points removed: 13, Discriminating Tests: 5364
Points removed: 14, Discriminating Tests: 6043
Points removed: 15, Discriminating Tests: 5213
Points removed: 16, Discriminating Tests: 3684
Points removed: 17, Discriminating Tests: 3743
Points removed: 18, Discriminating Tests: 3400
Points removed: 19, Discriminating Tests: 2576
Points removed: 20, Discriminating Tests: 1839
Points removed: 21, Discriminating Tests: 1105
Points removed: 22, Discriminating Tests: 393
Points removed: 23, Discriminating Tests: 278
Points removed: 24, Discriminating Tests: 928
Points removed: 25, Discriminating Tests: 693
Points removed: 26, Discriminating Tests: 180
Points removed: 27, Discriminating Tests: 2923
Points removed: 28, Discriminating Tests: 2940
Points removed: 29, Discriminating Tests: 3100
Points removed: 30, Discriminating Tests: 3266
Points removed: 31, Discriminating Tests: 4166
Points removed: 32, Discriminating Tests: 4299
Points removed: 33, Discriminating Tests: 6168
Points removed: 34, Discriminating Tests: 5315
Points removed: 35, Discriminating Tests: 5538
Points removed: 36, Discriminating Tests: 6575
Points removed: 37, Discriminating Tests: 7282
Points removed: 38, Discriminating Tests: 7901
Points removed: 39, Discriminating Tests: 7603
Points removed: 40, Discriminating Tests: 8812
Points removed: 41, Discriminating Tests: 9538
Points removed: 42, Discriminating Tests: 9566
Points removed: 43, Discriminating Tests: 10178
Points removed: 44, Discriminating Tests: 10754
Points removed: 45, Discriminating Tests: 11136
Points removed: 46, Discriminating Tests: 11733
Points removed: 47, Discriminating Tests: 12152
Points removed: 48, Discriminating Tests: 12470
Points removed: 49, Discriminating Tests: 12942
Points removed: 50, Discriminating Tests: 13532
Points removed: 51, Discriminating Tests: 13349
Points removed: 52, Discriminating Tests: 14385
Points removed: 53, Discriminating Tests: 14008
Points removed: 54, Discriminating Tests: 14973
Points removed: 55, Discriminating Tests: 15597
Points removed: 56, Discriminating Tests: 16363
Points removed: 57, Discriminating Tests: 17100
Points removed: 58, Discriminating Tests: 17050
Points removed: 59, Discriminating Tests: 17621
Points removed: 60, Discriminating Tests: 17342
Points removed: 61, Discriminating Tests: 17204
Points removed: 62, Discriminating Tests: 17786
Points removed: 63, Discriminating Tests: 18562
Points removed: 64, Discriminating Tests: 19077
Points removed: 65, Discriminating Tests: 19583
Points removed: 66, Discriminating Tests: 20317
Points removed: 67, Discriminating Tests: 20000
Points removed: 68, Discriminating Tests: 20933
Points removed: 69, Discriminating Tests: 22691
Points removed: 70, Discriminating Tests: 23434
Points removed: 71, Discriminating Tests: 23223
Points removed: 72, Discriminating Tests: 24116
Points removed: 73, Discriminating Tests: 24665
Points removed: 74, Discriminating Tests: 24994
Points removed: 75, Discriminating Tests: 25797
Points removed: 76, Discriminating Tests: 26425
Points removed: 77, Discriminating Tests: 26395
Points removed: 78, Discriminating Tests: 26105
Points removed: 79, Discriminating Tests: 26122
Points removed: 80, Discriminating Tests: 27231
Points removed: 81, Discriminating Tests: 28040
Points removed: 82, Discriminating Tests: 27445
Points removed: 83, Discriminating Tests: 28486
Points removed: 84, Discriminating Tests: 28684
Points removed: 85, Discriminating Tests: 29061
Points removed: 86, Discriminating Tests: 30168
Points removed: 87, Discriminating Tests: 31060
Points removed: 88, Discriminating Tests: 31821
Points removed: 89, Discriminating Tests: 31839
Points removed: 90, Discriminating Tests: 32433
Points removed: 91, Discriminating Tests: 32552
Points removed: 92, Discriminating Tests: 33752
Points removed: 93, Discriminating Tests: 34099
Points removed: 94, Discriminating Tests: 34164
Points removed: 95, Discriminating Tests: 33067
Points removed: 96, Discriminating Tests: 33023
Points removed: 97, Discriminating Tests: 33974
Points removed: 98, Discriminating Tests: 34942
Points removed: 99, Discriminating Tests: 34980
