Points removed: 0, Discriminating Tests: 7611
Points removed: 1, Discriminating Tests: 6822
Points removed: 2, Discriminating Tests: 6172
Points removed: 3, Discriminating Tests: 4944
Points removed: 4, Discriminating Tests: 4890
Points removed: 5, Discriminating Tests: 3838
Points removed: 6, Discriminating Tests: 3231
Points removed: 7, Discriminating Tests: 2673
Points removed: 8, Discriminating Tests: 2305
Points removed: 9, Discriminating Tests: 773
Points removed: 10, Discriminating Tests: 908
Points removed: 11, Discriminating Tests: 915
Points removed: 12, Discriminating Tests: 275
Points removed: 13, Discriminating Tests: 1799
Points removed: 14, Discriminating Tests: 894
Points removed: 15, Discriminating Tests: 1638
Points removed: 16, Discriminating Tests: 3166
Points removed: 17, Discriminating Tests: 3760
Points removed: 18, Discriminating Tests: 3451
Points removed: 19, Discriminating Tests: 4641
Points removed: 20, Discriminating Tests: 5282
Points removed: 21, Discriminating Tests: 6192
Points removed: 22, Discriminating Tests: 6873
Points removed: 23, Discriminating Tests: 6629
Points removed: 24, Discriminating Tests: 7728
Points removed: 25, Discriminating Tests: 7736
Points removed: 26, Discriminating Tests: 7930
Points removed: 27, Discriminating Tests: 9620
Points removed: 28, Discriminating Tests: 9521
Points removed: 29, Discriminating Tests: 9885
Points removed: 30, Discriminating Tests: 10465
Points removed: 31, Discriminating Tests: 10564
Points removed: 32, Discriminating Tests: 11460
Points removed: 33, Discriminating Tests: 12117
Points removed: 34, Discriminating Tests: 11986
Points removed: 35, Discriminating Tests: 12760
Points removed: 36, Discriminating Tests: 13589
Points removed: 37, Discriminating Tests: 14197
Points removed: 38, Discriminating Tests: 14899
Points removed: 39, Discriminating Tests: 15138
