Points removed: 0, Discriminating Tests: 8129
Points removed: 1, Discriminating Tests: 7373
Points removed: 2, Discriminating Tests: 6429
Points removed: 3, Discriminating Tests: 6154
Points removed: 4, Discriminating Tests: 4407
Points removed: 5, Discriminating Tests: 3508
Points removed: 6, Discriminating Tests: 3769
Points removed: 7, Discriminating Tests: 3026
Points removed: 8, Discriminating Tests: 1371
Points removed: 9, Discriminating Tests: 313
Points removed: 10, Discriminating Tests: 80
Points removed: 11, Discriminating Tests: 448
Points removed: 12, Discriminating Tests: 932
Points removed: 13, Discriminating Tests: 1289
Points removed: 14, Discriminating Tests: 1979
Points removed: 15, Discriminating Tests: 2403
Points removed: 16, Discriminating Tests: 2426
Points removed: 17, Discriminating Tests: 4241
Points removed: 18, Discriminating Tests: 3780
Points removed: 19, Discriminating Tests: 5404
Points removed: 20, Discriminating Tests: 5118
Points removed: 21, Discriminating Tests: 6496
Points removed: 22, Discriminating Tests: 6108
Points removed: 23, Discriminating Tests: 6923
Points removed: 24, Discriminating Tests: 7243
Points removed: 25, Discriminating Tests: 7304
Points removed: 26, Discriminating Tests: 8818
Points removed: 27, Discriminating Tests: 8559
Points removed: 28, Discriminating Tests: 8528
Points removed: 29, Discriminating Tests: 9796
Points removed: 30, Discriminating Tests: 10719
Points removed: 31, Discriminating Tests: 11595
Points removed: 32, Discriminating Tests: 11001
Points removed: 33, Discriminating Tests: 12481
Points removed: 34, Discriminating Tests: 12846
Points removed: 35, Discriminating Tests: 13403
Points removed: 36, Discriminating Tests: 13015
Points removed: 37, Discriminating Tests: 13929
Points removed: 38, Discriminating Tests: 14904
Points removed: 39, Discriminating Tests: 14602
