Points removed: 0, Discriminating Tests: 9579
Points removed: 1, Discriminating Tests: 8645
Points removed: 2, Discriminating Tests: 8186
Points removed: 3, Discriminating Tests: 6626
Points removed: 4, Discriminating Tests: 6411
Points removed: 5, Discriminating Tests: 5312
Points removed: 6, Discriminating Tests: 4286
Points removed: 7, Discriminating Tests: 4065
Points removed: 8, Discriminating Tests: 3554
Points removed: 9, Discriminating Tests: 2380
Points removed: 10, Discriminating Tests: 2335
Points removed: 11, Discriminating Tests: 1127
Points removed: 12, Discriminating Tests: 663
Points removed: 13, Discriminating Tests: 495
Points removed: 14, Discriminating Tests: 311
Points removed: 15, Discriminating Tests: 1032
Points removed: 16, Discriminating Tests: 2236
Points removed: 17, Discriminating Tests: 2490
Points removed: 18, Discriminating Tests: 2667
Points removed: 19, Discriminating Tests: 3590
Points removed: 20, Discriminating Tests: 3828
Points removed: 21, Discriminating Tests: 4328
Points removed: 22, Discriminating Tests: 5688
Points removed: 23, Discriminating Tests: 5165
Points removed: 24, Discriminating Tests: 6494
Points removed: 25, Discriminating Tests: 6684
Points removed: 26, Discriminating Tests: 7293
Points removed: 27, Discriminating Tests: 8526
Points removed: 28, Discriminating Tests: 8658
Points removed: 29, Discriminating Tests: 8892
Points removed: 30, Discriminating Tests: 9557
Points removed: 31, Discriminating Tests: 10425
Points removed: 32, Discriminating Tests: 11094
Points removed: 33, Discriminating Tests: 11737
Points removed: 34, Discriminating Tests: 11540
Points removed: 35, Discriminating Tests: 11855
Points removed: 36, Discriminating Tests: 12599
Points removed: 37, Discriminating Tests: 13396
Points removed: 38, Discriminating Tests: 14121
Points removed: 39, Discriminating Tests: 14686
