Points removed: 0, Discriminating Tests: 14463
Points removed: 1, Discriminating Tests: 14463
Points removed: 2, Discriminating Tests: 14009
Points removed: 3, Discriminating Tests: 13002
Points removed: 4, Discriminating Tests: 14215
Points removed: 5, Discriminating Tests: 15001
Points removed: 6, Discriminating Tests: 14053
Points removed: 7, Discriminating Tests: 13811
Points removed: 8, Discriminating Tests: 14212
Points removed: 9, Discriminating Tests: 14478
Points removed: 10, Discriminating Tests: 13587
Points removed: 11, Discriminating Tests: 14884
Points removed: 12, Discriminating Tests: 13888
Points removed: 13, Discriminating Tests: 14265
Points removed: 14, Discriminating Tests: 15089
Points removed: 15, Discriminating Tests: 15159
Points removed: 16, Discriminating Tests: 15068
Points removed: 17, Discriminating Tests: 15088
Points removed: 18, Discriminating Tests: 14146
Points removed: 19, Discriminating Tests: 14356
Points removed: 20, Discriminating Tests: 14223
Points removed: 21, Discriminating Tests: 14262
Points removed: 22, Discriminating Tests: 13839
Points removed: 23, Discriminating Tests: 14732
Points removed: 24, Discriminating Tests: 14610
Points removed: 25, Discriminating Tests: 14226
Points removed: 26, Discriminating Tests: 15260
Points removed: 27, Discriminating Tests: 15017
Points removed: 28, Discriminating Tests: 15003
Points removed: 29, Discriminating Tests: 14821
Points removed: 30, Discriminating Tests: 15065
Points removed: 31, Discriminating Tests: 15433
Points removed: 32, Discriminating Tests: 15821
Points removed: 33, Discriminating Tests: 15791
Points removed: 34, Discriminating Tests: 16476
Points removed: 35, Discriminating Tests: 16559
Points removed: 36, Discriminating Tests: 16023
Points removed: 37, Discriminating Tests: 16325
Points removed: 38, Discriminating Tests: 17041
Points removed: 39, Discriminating Tests: 17205
Points removed: 40, Discriminating Tests: 16464
Points removed: 41, Discriminating Tests: 16691
Points removed: 42, Discriminating Tests: 16247
Points removed: 43, Discriminating Tests: 17255
Points removed: 44, Discriminating Tests: 17361
Points removed: 45, Discriminating Tests: 17262
Points removed: 46, Discriminating Tests: 17680
Points removed: 47, Discriminating Tests: 18371
Points removed: 48, Discriminating Tests: 18777
Points removed: 49, Discriminating Tests: 18600
Points removed: 50, Discriminating Tests: 18680
Points removed: 51, Discriminating Tests: 17819
Points removed: 52, Discriminating Tests: 18766
Points removed: 53, Discriminating Tests: 18857
Points removed: 54, Discriminating Tests: 19162
Points removed: 55, Discriminating Tests: 19345
Points removed: 56, Discriminating Tests: 18916
Points removed: 57, Discriminating Tests: 20041
Points removed: 58, Discriminating Tests: 19827
Points removed: 59, Discriminating Tests: 20719
Points removed: 60, Discriminating Tests: 20086
Points removed: 61, Discriminating Tests: 20517
Points removed: 62, Discriminating Tests: 20666
Points removed: 63, Discriminating Tests: 20684
Points removed: 64, Discriminating Tests: 20289
Points removed: 65, Discriminating Tests: 20178
Points removed: 66, Discriminating Tests: 20669
Points removed: 67, Discriminating Tests: 20343
Points removed: 68, Discriminating Tests: 19875
Points removed: 69, Discriminating Tests: 21244
Points removed: 70, Discriminating Tests: 20649
Points removed: 71, Discriminating Tests: 21723
Points removed: 72, Discriminating Tests: 21370
Points removed: 73, Discriminating Tests: 20980
Points removed: 74, Discriminating Tests: 20576
Points removed: 75, Discriminating Tests: 20739
Points removed: 76, Discriminating Tests: 20221
Points removed: 77, Discriminating Tests: 20271
Points removed: 78, Discriminating Tests: 21106
Points removed: 79, Discriminating Tests: 20387
Points removed: 8, Discriminating Tests: 14212
Points removed: 48, Discriminating Tests: 18777
Points removed: 88, Discriminating Tests: 21579
Points removed: 128, Discriminating Tests: 22891
Points removed: 168, Discriminating Tests: 24651
Points removed: 208, Discriminating Tests: 29401
Points removed: 248, Discriminating Tests: 30426
Points removed: 288, Discriminating Tests: 36216
Points removed: 328, Discriminating Tests: 37170
Points removed: 368, Discriminating Tests: 38407
