Points removed: 0, Discriminating Tests: 7614
Points removed: 1, Discriminating Tests: 7640
Points removed: 2, Discriminating Tests: 7526
Points removed: 3, Discriminating Tests: 7087
Points removed: 4, Discriminating Tests: 6766
Points removed: 5, Discriminating Tests: 6201
Points removed: 6, Discriminating Tests: 5683
Points removed: 7, Discriminating Tests: 6610
Points removed: 8, Discriminating Tests: 6486
Points removed: 9, Discriminating Tests: 4679
Points removed: 10, Discriminating Tests: 4731
Points removed: 11, Discriminating Tests: 2666
Points removed: 12, Discriminating Tests: 4941
Points removed: 13, Discriminating Tests: 3534
Points removed: 14, Discriminating Tests: 3861
Points removed: 15, Discriminating Tests: 4190
Points removed: 16, Discriminating Tests: 3614
Points removed: 17, Discriminating Tests: 3122
Points removed: 18, Discriminating Tests: 4213
Points removed: 19, Discriminating Tests: 2070
Points removed: 20, Discriminating Tests: 1913
Points removed: 21, Discriminating Tests: 2453
Points removed: 22, Discriminating Tests: 1817
Points removed: 23, Discriminating Tests: 1785
Points removed: 24, Discriminating Tests: 291
Points removed: 25, Discriminating Tests: 913
Points removed: 26, Discriminating Tests: 1114
Points removed: 27, Discriminating Tests: 575
Points removed: 28, Discriminating Tests: 94
Points removed: 29, Discriminating Tests: 1296
Points removed: 30, Discriminating Tests: 922
Points removed: 31, Discriminating Tests: 2189
Points removed: 32, Discriminating Tests: 1637
Points removed: 33, Discriminating Tests: 3527
Points removed: 34, Discriminating Tests: 3436
Points removed: 35, Discriminating Tests: 2567
Points removed: 36, Discriminating Tests: 4225
Points removed: 37, Discriminating Tests: 4882
Points removed: 38, Discriminating Tests: 5586
Points removed: 39, Discriminating Tests: 5717
