Points removed: 0, Discriminating Tests: 9194
Points removed: 1, Discriminating Tests: 8611
Points removed: 2, Discriminating Tests: 7823
Points removed: 3, Discriminating Tests: 7438
Points removed: 4, Discriminating Tests: 6733
Points removed: 5, Discriminating Tests: 5597
Points removed: 6, Discriminating Tests: 4450
Points removed: 7, Discriminating Tests: 4244
Points removed: 8, Discriminating Tests: 3880
Points removed: 9, Discriminating Tests: 2125
Points removed: 10, Discriminating Tests: 2917
Points removed: 11, Discriminating Tests: 1054
Points removed: 12, Discriminating Tests: 1167
Points removed: 13, Discriminating Tests: 279
Points removed: 14, Discriminating Tests: 797
Points removed: 15, Discriminating Tests: 446
Points removed: 16, Discriminating Tests: 1702
Points removed: 17, Discriminating Tests: 2109
Points removed: 18, Discriminating Tests: 2098
Points removed: 19, Discriminating Tests: 3064
Points removed: 20, Discriminating Tests: 3959
Points removed: 21, Discriminating Tests: 4201
Points removed: 22, Discriminating Tests: 5185
Points removed: 23, Discriminating Tests: 5228
Points removed: 24, Discriminating Tests: 6660
Points removed: 25, Discriminating Tests: 6483
Points removed: 26, Discriminating Tests: 6718
Points removed: 27, Discriminating Tests: 8216
Points removed: 28, Discriminating Tests: 7581
Points removed: 29, Discriminating Tests: 7990
Points removed: 30, Discriminating Tests: 8113
Points removed: 31, Discriminating Tests: 9442
Points removed: 32, Discriminating Tests: 10194
Points removed: 33, Discriminating Tests: 11103
Points removed: 34, Discriminating Tests: 11450
Points removed: 35, Discriminating Tests: 11316
Points removed: 36, Discriminating Tests: 12196
Points removed: 37, Discriminating Tests: 13117
Points removed: 38, Discriminating Tests: 13428
Points removed: 39, Discriminating Tests: 14160
