Points removed: 0, Discriminating Tests: 10025
Points removed: 1, Discriminating Tests: 8794
Points removed: 2, Discriminating Tests: 9830
Points removed: 3, Discriminating Tests: 9021
Points removed: 4, Discriminating Tests: 7785
Points removed: 5, Discriminating Tests: 8214
Points removed: 6, Discriminating Tests: 8636
Points removed: 7, Discriminating Tests: 8707
Points removed: 8, Discriminating Tests: 6471
Points removed: 9, Discriminating Tests: 6212
Points removed: 10, Discriminating Tests: 6595
Points removed: 11, Discriminating Tests: 7292
Points removed: 12, Discriminating Tests: 4664
Points removed: 13, Discriminating Tests: 4816
Points removed: 14, Discriminating Tests: 3779
Points removed: 15, Discriminating Tests: 5055
Points removed: 16, Discriminating Tests: 4803
Points removed: 17, Discriminating Tests: 3632
Points removed: 18, Discriminating Tests: 4013
Points removed: 19, Discriminating Tests: 2121
Points removed: 20, Discriminating Tests: 2909
Points removed: 21, Discriminating Tests: 1397
Points removed: 22, Discriminating Tests: 1093
Points removed: 23, Discriminating Tests: 2022
Points removed: 24, Discriminating Tests: 1144
Points removed: 25, Discriminating Tests: 1925
Points removed: 26, Discriminating Tests: 822
Points removed: 27, Discriminating Tests: 765
Points removed: 28, Discriminating Tests: 1494
Points removed: 29, Discriminating Tests: 1248
Points removed: 30, Discriminating Tests: 177
Points removed: 31, Discriminating Tests: 152
Points removed: 32, Discriminating Tests: 423
Points removed: 33, Discriminating Tests: 541
Points removed: 34, Discriminating Tests: 350
Points removed: 35, Discriminating Tests: 1244
Points removed: 36, Discriminating Tests: 584
Points removed: 37, Discriminating Tests: 422
Points removed: 38, Discriminating Tests: 1599
Points removed: 39, Discriminating Tests: 1675
Points removed: 40, Discriminating Tests: 939
Points removed: 41, Discriminating Tests: 2080
Points removed: 42, Discriminating Tests: 2644
Points removed: 43, Discriminating Tests: 3448
Points removed: 44, Discriminating Tests: 3670
Points removed: 45, Discriminating Tests: 4266
Points removed: 46, Discriminating Tests: 4088
Points removed: 47, Discriminating Tests: 4424
Points removed: 48, Discriminating Tests: 5232
Points removed: 49, Discriminating Tests: 5396
Points removed: 50, Discriminating Tests: 5448
Points removed: 51, Discriminating Tests: 5639
Points removed: 52, Discriminating Tests: 5678
Points removed: 53, Discriminating Tests: 6802
Points removed: 54, Discriminating Tests: 6306
Points removed: 55, Discriminating Tests: 7819
Points removed: 56, Discriminating Tests: 7139
Points removed: 57, Discriminating Tests: 7209
Points removed: 58, Discriminating Tests: 8259
Points removed: 59, Discriminating Tests: 8551
Points removed: 60, Discriminating Tests: 9143
Points removed: 61, Discriminating Tests: 9582
Points removed: 62, Discriminating Tests: 8838
Points removed: 63, Discriminating Tests: 8925
Points removed: 64, Discriminating Tests: 8979
Points removed: 65, Discriminating Tests: 9193
Points removed: 66, Discriminating Tests: 8791
Points removed: 67, Discriminating Tests: 8910
Points removed: 68, Discriminating Tests: 9432
Points removed: 69, Discriminating Tests: 9890
Points removed: 70, Discriminating Tests: 9899
Points removed: 71, Discriminating Tests: 9844
Points removed: 72, Discriminating Tests: 10567
Points removed: 73, Discriminating Tests: 10074
Points removed: 74, Discriminating Tests: 10280
Points removed: 75, Discriminating Tests: 10322
Points removed: 76, Discriminating Tests: 10478
Points removed: 77, Discriminating Tests: 11090
Points removed: 78, Discriminating Tests: 10839
Points removed: 79, Discriminating Tests: 10567
Points removed: 80, Discriminating Tests: 11182
Points removed: 81, Discriminating Tests: 11466
Points removed: 82, Discriminating Tests: 12517
Points removed: 83, Discriminating Tests: 11732
Points removed: 84, Discriminating Tests: 11784
Points removed: 85, Discriminating Tests: 11687
Points removed: 86, Discriminating Tests: 12347
Points removed: 87, Discriminating Tests: 13102
Points removed: 88, Discriminating Tests: 12655
Points removed: 89, Discriminating Tests: 13095
Points removed: 90, Discriminating Tests: 12928
Points removed: 91, Discriminating Tests: 13219
Points removed: 92, Discriminating Tests: 14058
Points removed: 93, Discriminating Tests: 13537
Points removed: 94, Discriminating Tests: 14380
Points removed: 95, Discriminating Tests: 14145
Points removed: 96, Discriminating Tests: 15479
Points removed: 97, Discriminating Tests: 14859
Points removed: 98, Discriminating Tests: 14998
Points removed: 99, Discriminating Tests: 14381
