Points removed: 0, Discriminating Tests: 10383
Points removed: 1, Discriminating Tests: 8689
Points removed: 2, Discriminating Tests: 8121
Points removed: 3, Discriminating Tests: 7907
Points removed: 4, Discriminating Tests: 5867
Points removed: 5, Discriminating Tests: 5372
Points removed: 6, Discriminating Tests: 5818
Points removed: 7, Discriminating Tests: 5257
Points removed: 8, Discriminating Tests: 3652
Points removed: 9, Discriminating Tests: 2773
Points removed: 10, Discriminating Tests: 2326
Points removed: 11, Discriminating Tests: 2679
Points removed: 12, Discriminating Tests: 1493
Points removed: 13, Discriminating Tests: 1150
Points removed: 14, Discriminating Tests: 306
Points removed: 15, Discriminating Tests: 92
Points removed: 16, Discriminating Tests: 100
Points removed: 17, Discriminating Tests: 1452
Points removed: 18, Discriminating Tests: 877
Points removed: 19, Discriminating Tests: 2324
Points removed: 20, Discriminating Tests: 2060
Points removed: 21, Discriminating Tests: 3869
Points removed: 22, Discriminating Tests: 3369
Points removed: 23, Discriminating Tests: 3876
Points removed: 24, Discriminating Tests: 4929
Points removed: 25, Discriminating Tests: 4441
Points removed: 26, Discriminating Tests: 5405
Points removed: 27, Discriminating Tests: 5967
Points removed: 28, Discriminating Tests: 5252
Points removed: 29, Discriminating Tests: 6746
Points removed: 30, Discriminating Tests: 8148
Points removed: 31, Discriminating Tests: 8577
Points removed: 32, Discriminating Tests: 8369
Points removed: 33, Discriminating Tests: 9010
Points removed: 34, Discriminating Tests: 9808
Points removed: 35, Discriminating Tests: 10618
Points removed: 36, Discriminating Tests: 9982
Points removed: 37, Discriminating Tests: 10576
Points removed: 38, Discriminating Tests: 11157
Points removed: 39, Discriminating Tests: 11037
