Points removed: 0, Discriminating Tests: 10050
Points removed: 1, Discriminating Tests: 8931
Points removed: 2, Discriminating Tests: 7740
Points removed: 3, Discriminating Tests: 7518
Points removed: 4, Discriminating Tests: 5864
Points removed: 5, Discriminating Tests: 4806
Points removed: 6, Discriminating Tests: 5482
Points removed: 7, Discriminating Tests: 4569
Points removed: 8, Discriminating Tests: 3593
Points removed: 9, Discriminating Tests: 1902
Points removed: 10, Discriminating Tests: 1260
Points removed: 11, Discriminating Tests: 1891
Points removed: 12, Discriminating Tests: 261
Points removed: 13, Discriminating Tests: 258
Points removed: 14, Discriminating Tests: 934
Points removed: 15, Discriminating Tests: 1142
Points removed: 16, Discriminating Tests: 1710
Points removed: 17, Discriminating Tests: 2943
Points removed: 18, Discriminating Tests: 2480
Points removed: 19, Discriminating Tests: 4167
Points removed: 20, Discriminating Tests: 4012
Points removed: 21, Discriminating Tests: 5050
Points removed: 22, Discriminating Tests: 5123
Points removed: 23, Discriminating Tests: 5650
Points removed: 24, Discriminating Tests: 6372
Points removed: 25, Discriminating Tests: 6106
Points removed: 26, Discriminating Tests: 7575
Points removed: 27, Discriminating Tests: 8138
Points removed: 28, Discriminating Tests: 7897
Points removed: 29, Discriminating Tests: 8944
Points removed: 30, Discriminating Tests: 9754
Points removed: 31, Discriminating Tests: 10661
Points removed: 32, Discriminating Tests: 10472
Points removed: 33, Discriminating Tests: 11469
Points removed: 34, Discriminating Tests: 12091
Points removed: 35, Discriminating Tests: 12703
Points removed: 36, Discriminating Tests: 11900
Points removed: 37, Discriminating Tests: 12942
Points removed: 38, Discriminating Tests: 13901
Points removed: 39, Discriminating Tests: 13807
