Points removed: 0, Discriminating Tests: 7972
Points removed: 1, Discriminating Tests: 7007
Points removed: 2, Discriminating Tests: 6170
Points removed: 3, Discriminating Tests: 5306
Points removed: 4, Discriminating Tests: 5267
Points removed: 5, Discriminating Tests: 3885
Points removed: 6, Discriminating Tests: 3577
Points removed: 7, Discriminating Tests: 2890
Points removed: 8, Discriminating Tests: 2821
Points removed: 9, Discriminating Tests: 1555
Points removed: 10, Discriminating Tests: 1457
Points removed: 11, Discriminating Tests: 86
Points removed: 12, Discriminating Tests: 65
Points removed: 13, Discriminating Tests: 945
Points removed: 14, Discriminating Tests: 308
Points removed: 15, Discriminating Tests: 1302
Points removed: 16, Discriminating Tests: 2875
Points removed: 17, Discriminating Tests: 3245
Points removed: 18, Discriminating Tests: 3034
Points removed: 19, Discriminating Tests: 3559
Points removed: 20, Discriminating Tests: 4139
Points removed: 21, Discriminating Tests: 4577
Points removed: 22, Discriminating Tests: 5475
Points removed: 23, Discriminating Tests: 5266
Points removed: 24, Discriminating Tests: 6358
Points removed: 25, Discriminating Tests: 6136
Points removed: 26, Discriminating Tests: 6353
Points removed: 27, Discriminating Tests: 7818
Points removed: 28, Discriminating Tests: 7412
Points removed: 29, Discriminating Tests: 7817
Points removed: 30, Discriminating Tests: 7850
Points removed: 31, Discriminating Tests: 8895
Points removed: 32, Discriminating Tests: 9946
Points removed: 33, Discriminating Tests: 10100
Points removed: 34, Discriminating Tests: 9808
Points removed: 35, Discriminating Tests: 10385
Points removed: 36, Discriminating Tests: 11246
Points removed: 37, Discriminating Tests: 11857
Points removed: 38, Discriminating Tests: 12272
Points removed: 39, Discriminating Tests: 12703
