Points removed: 0, Discriminating Tests: 8546
Points removed: 1, Discriminating Tests: 9367
Points removed: 2, Discriminating Tests: 7429
Points removed: 3, Discriminating Tests: 7760
Points removed: 4, Discriminating Tests: 7607
Points removed: 5, Discriminating Tests: 8042
Points removed: 6, Discriminating Tests: 7220
Points removed: 7, Discriminating Tests: 7270
Points removed: 8, Discriminating Tests: 7095
Points removed: 9, Discriminating Tests: 8156
Points removed: 10, Discriminating Tests: 7911
Points removed: 11, Discriminating Tests: 7418
Points removed: 12, Discriminating Tests: 7379
Points removed: 13, Discriminating Tests: 7391
Points removed: 14, Discriminating Tests: 6727
Points removed: 15, Discriminating Tests: 7255
Points removed: 16, Discriminating Tests: 7274
Points removed: 17, Discriminating Tests: 7137
Points removed: 18, Discriminating Tests: 6381
Points removed: 19, Discriminating Tests: 7136
Points removed: 20, Discriminating Tests: 6591
Points removed: 21, Discriminating Tests: 7287
Points removed: 22, Discriminating Tests: 7143
Points removed: 23, Discriminating Tests: 6492
Points removed: 24, Discriminating Tests: 7263
Points removed: 25, Discriminating Tests: 6457
Points removed: 26, Discriminating Tests: 7059
Points removed: 27, Discriminating Tests: 7191
Points removed: 28, Discriminating Tests: 7255
Points removed: 29, Discriminating Tests: 8006
Points removed: 30, Discriminating Tests: 7561
Points removed: 31, Discriminating Tests: 7272
Points removed: 32, Discriminating Tests: 8426
Points removed: 33, Discriminating Tests: 8247
Points removed: 34, Discriminating Tests: 8892
Points removed: 35, Discriminating Tests: 8461
Points removed: 36, Discriminating Tests: 8338
Points removed: 37, Discriminating Tests: 8508
Points removed: 38, Discriminating Tests: 8605
Points removed: 39, Discriminating Tests: 7830
