Points removed: 0, Discriminating Tests: 16557
Points removed: 1, Discriminating Tests: 15446
Points removed: 2, Discriminating Tests: 14303
Points removed: 3, Discriminating Tests: 14049
Points removed: 4, Discriminating Tests: 12728
Points removed: 5, Discriminating Tests: 12025
Points removed: 6, Discriminating Tests: 11817
Points removed: 7, Discriminating Tests: 11470
Points removed: 8, Discriminating Tests: 9874
Points removed: 9, Discriminating Tests: 9129
Points removed: 10, Discriminating Tests: 8748
Points removed: 11, Discriminating Tests: 9473
Points removed: 12, Discriminating Tests: 7800
Points removed: 13, Discriminating Tests: 7827
Points removed: 14, Discriminating Tests: 6951
Points removed: 15, Discriminating Tests: 6652
Points removed: 16, Discriminating Tests: 6768
Points removed: 17, Discriminating Tests: 5342
Points removed: 18, Discriminating Tests: 5606
Points removed: 19, Discriminating Tests: 4498
Points removed: 20, Discriminating Tests: 4587
Points removed: 21, Discriminating Tests: 2947
Points removed: 22, Discriminating Tests: 3064
Points removed: 23, Discriminating Tests: 3311
Points removed: 24, Discriminating Tests: 2090
Points removed: 25, Discriminating Tests: 2031
Points removed: 26, Discriminating Tests: 1626
Points removed: 27, Discriminating Tests: 1058
Points removed: 28, Discriminating Tests: 1691
Points removed: 29, Discriminating Tests: 735
Points removed: 30, Discriminating Tests: 886
Points removed: 31, Discriminating Tests: 1450
Points removed: 32, Discriminating Tests: 1268
Points removed: 33, Discriminating Tests: 1839
Points removed: 34, Discriminating Tests: 2430
Points removed: 35, Discriminating Tests: 3598
Points removed: 36, Discriminating Tests: 2816
Points removed: 37, Discriminating Tests: 3992
Points removed: 38, Discriminating Tests: 4404
Points removed: 39, Discriminating Tests: 3754
Points removed: 40, Discriminating Tests: 3970
Points removed: 41, Discriminating Tests: 5046
Points removed: 42, Discriminating Tests: 5173
Points removed: 43, Discriminating Tests: 5464
Points removed: 44, Discriminating Tests: 6883
Points removed: 45, Discriminating Tests: 7097
Points removed: 46, Discriminating Tests: 6346
Points removed: 47, Discriminating Tests: 7595
Points removed: 48, Discriminating Tests: 7561
Points removed: 49, Discriminating Tests: 7741
Points removed: 50, Discriminating Tests: 8280
Points removed: 51, Discriminating Tests: 9293
Points removed: 52, Discriminating Tests: 8510
Points removed: 53, Discriminating Tests: 9722
Points removed: 54, Discriminating Tests: 10754
Points removed: 55, Discriminating Tests: 10124
Points removed: 56, Discriminating Tests: 10816
Points removed: 57, Discriminating Tests: 10560
Points removed: 58, Discriminating Tests: 12037
Points removed: 59, Discriminating Tests: 11282
Points removed: 60, Discriminating Tests: 11819
Points removed: 61, Discriminating Tests: 12388
Points removed: 62, Discriminating Tests: 12339
Points removed: 63, Discriminating Tests: 13148
Points removed: 64, Discriminating Tests: 13483
Points removed: 65, Discriminating Tests: 13676
Points removed: 66, Discriminating Tests: 14141
Points removed: 67, Discriminating Tests: 14301
Points removed: 68, Discriminating Tests: 14284
Points removed: 69, Discriminating Tests: 15607
Points removed: 70, Discriminating Tests: 15830
Points removed: 71, Discriminating Tests: 16286
Points removed: 72, Discriminating Tests: 16302
Points removed: 73, Discriminating Tests: 17439
Points removed: 74, Discriminating Tests: 17869
Points removed: 75, Discriminating Tests: 17651
Points removed: 76, Discriminating Tests: 18303
Points removed: 77, Discriminating Tests: 18668
Points removed: 78, Discriminating Tests: 18995
Points removed: 79, Discriminating Tests: 19194
Points removed: 80, Discriminating Tests: 20330
Points removed: 81, Discriminating Tests: 20234
Points removed: 82, Discriminating Tests: 20578
Points removed: 83, Discriminating Tests: 21181
Points removed: 84, Discriminating Tests: 21167
Points removed: 85, Discriminating Tests: 21268
Points removed: 86, Discriminating Tests: 21922
Points removed: 87, Discriminating Tests: 22112
Points removed: 88, Discriminating Tests: 22635
Points removed: 89, Discriminating Tests: 22501
Points removed: 90, Discriminating Tests: 22781
Points removed: 91, Discriminating Tests: 22599
Points removed: 92, Discriminating Tests: 23151
Points removed: 93, Discriminating Tests: 23811
Points removed: 94, Discriminating Tests: 23800
Points removed: 95, Discriminating Tests: 24529
Points removed: 96, Discriminating Tests: 24484
Points removed: 97, Discriminating Tests: 25015
Points removed: 98, Discriminating Tests: 24989
Points removed: 99, Discriminating Tests: 25639
Points removed: 100, Discriminating Tests: 26030
Points removed: 101, Discriminating Tests: 26909
Points removed: 102, Discriminating Tests: 27019
Points removed: 103, Discriminating Tests: 27436
Points removed: 104, Discriminating Tests: 28064
Points removed: 105, Discriminating Tests: 29032
Points removed: 106, Discriminating Tests: 28304
Points removed: 107, Discriminating Tests: 28975
Points removed: 108, Discriminating Tests: 29089
Points removed: 109, Discriminating Tests: 30240
Points removed: 110, Discriminating Tests: 30805
Points removed: 111, Discriminating Tests: 31650
Points removed: 112, Discriminating Tests: 31564
Points removed: 113, Discriminating Tests: 32510
Points removed: 114, Discriminating Tests: 31656
Points removed: 115, Discriminating Tests: 32393
Points removed: 116, Discriminating Tests: 31747
Points removed: 117, Discriminating Tests: 33016
Points removed: 118, Discriminating Tests: 33219
Points removed: 119, Discriminating Tests: 33615
