Points removed: 0, Discriminating Tests: 10618
Points removed: 1, Discriminating Tests: 9702
Points removed: 2, Discriminating Tests: 8412
Points removed: 3, Discriminating Tests: 8166
Points removed: 4, Discriminating Tests: 6312
Points removed: 5, Discriminating Tests: 5857
Points removed: 6, Discriminating Tests: 6064
Points removed: 7, Discriminating Tests: 5327
Points removed: 8, Discriminating Tests: 4070
Points removed: 9, Discriminating Tests: 2727
Points removed: 10, Discriminating Tests: 2375
Points removed: 11, Discriminating Tests: 3074
Points removed: 12, Discriminating Tests: 1053
Points removed: 13, Discriminating Tests: 511
Points removed: 14, Discriminating Tests: 140
Points removed: 15, Discriminating Tests: 254
Points removed: 16, Discriminating Tests: 457
Points removed: 17, Discriminating Tests: 1716
Points removed: 18, Discriminating Tests: 767
Points removed: 19, Discriminating Tests: 2776
Points removed: 20, Discriminating Tests: 2988
Points removed: 21, Discriminating Tests: 3895
Points removed: 22, Discriminating Tests: 4015
Points removed: 23, Discriminating Tests: 4816
Points removed: 24, Discriminating Tests: 5173
Points removed: 25, Discriminating Tests: 5367
Points removed: 26, Discriminating Tests: 6106
Points removed: 27, Discriminating Tests: 6635
Points removed: 28, Discriminating Tests: 6129
Points removed: 29, Discriminating Tests: 7204
Points removed: 30, Discriminating Tests: 8697
Points removed: 31, Discriminating Tests: 9526
Points removed: 32, Discriminating Tests: 8933
Points removed: 33, Discriminating Tests: 9729
Points removed: 34, Discriminating Tests: 9978
Points removed: 35, Discriminating Tests: 11621
Points removed: 36, Discriminating Tests: 10874
Points removed: 37, Discriminating Tests: 11774
Points removed: 38, Discriminating Tests: 12207
Points removed: 39, Discriminating Tests: 12290
