Points removed: 0, Discriminating Tests: 9879
Points removed: 1, Discriminating Tests: 8541
Points removed: 2, Discriminating Tests: 7630
Points removed: 3, Discriminating Tests: 7780
Points removed: 4, Discriminating Tests: 5553
Points removed: 5, Discriminating Tests: 5070
Points removed: 6, Discriminating Tests: 5309
Points removed: 7, Discriminating Tests: 4612
Points removed: 8, Discriminating Tests: 2912
Points removed: 9, Discriminating Tests: 1839
Points removed: 10, Discriminating Tests: 1544
Points removed: 11, Discriminating Tests: 1864
Points removed: 12, Discriminating Tests: 328
Points removed: 13, Discriminating Tests: 50
Points removed: 14, Discriminating Tests: 1030
Points removed: 15, Discriminating Tests: 1259
Points removed: 16, Discriminating Tests: 1483
Points removed: 17, Discriminating Tests: 3318
Points removed: 18, Discriminating Tests: 2776
Points removed: 19, Discriminating Tests: 4207
Points removed: 20, Discriminating Tests: 3969
Points removed: 21, Discriminating Tests: 5109
Points removed: 22, Discriminating Tests: 5059
Points removed: 23, Discriminating Tests: 5842
Points removed: 24, Discriminating Tests: 6118
Points removed: 25, Discriminating Tests: 6374
Points removed: 26, Discriminating Tests: 7113
Points removed: 27, Discriminating Tests: 7681
Points removed: 28, Discriminating Tests: 7895
Points removed: 29, Discriminating Tests: 8918
Points removed: 30, Discriminating Tests: 10362
Points removed: 31, Discriminating Tests: 11093
Points removed: 32, Discriminating Tests: 10559
Points removed: 33, Discriminating Tests: 11765
Points removed: 34, Discriminating Tests: 12259
Points removed: 35, Discriminating Tests: 12846
Points removed: 36, Discriminating Tests: 12347
Points removed: 37, Discriminating Tests: 12885
Points removed: 38, Discriminating Tests: 13837
Points removed: 39, Discriminating Tests: 13634
