Points removed: 0, Discriminating Tests: 8029
Points removed: 1, Discriminating Tests: 7071
Points removed: 2, Discriminating Tests: 6436
Points removed: 3, Discriminating Tests: 6317
Points removed: 4, Discriminating Tests: 4358
Points removed: 5, Discriminating Tests: 3327
Points removed: 6, Discriminating Tests: 4107
Points removed: 7, Discriminating Tests: 2962
Points removed: 8, Discriminating Tests: 1516
Points removed: 9, Discriminating Tests: 351
Points removed: 10, Discriminating Tests: 332
Points removed: 11, Discriminating Tests: 262
Points removed: 12, Discriminating Tests: 863
Points removed: 13, Discriminating Tests: 1501
Points removed: 14, Discriminating Tests: 2385
Points removed: 15, Discriminating Tests: 2402
Points removed: 16, Discriminating Tests: 2877
Points removed: 17, Discriminating Tests: 4464
Points removed: 18, Discriminating Tests: 3705
Points removed: 19, Discriminating Tests: 5124
Points removed: 20, Discriminating Tests: 5187
Points removed: 21, Discriminating Tests: 6502
Points removed: 22, Discriminating Tests: 6112
Points removed: 23, Discriminating Tests: 6985
Points removed: 24, Discriminating Tests: 7263
Points removed: 25, Discriminating Tests: 7082
Points removed: 26, Discriminating Tests: 8540
Points removed: 27, Discriminating Tests: 8899
Points removed: 28, Discriminating Tests: 8451
Points removed: 29, Discriminating Tests: 9879
Points removed: 30, Discriminating Tests: 11000
Points removed: 31, Discriminating Tests: 11877
Points removed: 32, Discriminating Tests: 11897
Points removed: 33, Discriminating Tests: 11718
Points removed: 34, Discriminating Tests: 12784
Points removed: 35, Discriminating Tests: 13654
Points removed: 36, Discriminating Tests: 12815
Points removed: 37, Discriminating Tests: 14245
Points removed: 38, Discriminating Tests: 14834
Points removed: 39, Discriminating Tests: 14068
