Points removed: 0, Discriminating Tests: 9827
Points removed: 1, Discriminating Tests: 8140
Points removed: 2, Discriminating Tests: 8294
Points removed: 3, Discriminating Tests: 7098
Points removed: 4, Discriminating Tests: 6636
Points removed: 5, Discriminating Tests: 5763
Points removed: 6, Discriminating Tests: 4855
Points removed: 7, Discriminating Tests: 4819
Points removed: 8, Discriminating Tests: 4539
Points removed: 9, Discriminating Tests: 3142
Points removed: 10, Discriminating Tests: 3407
Points removed: 11, Discriminating Tests: 1727
Points removed: 12, Discriminating Tests: 1920
Points removed: 13, Discriminating Tests: 660
Points removed: 14, Discriminating Tests: 1294
Points removed: 15, Discriminating Tests: 902
Points removed: 16, Discriminating Tests: 1541
Points removed: 17, Discriminating Tests: 1236
Points removed: 18, Discriminating Tests: 1261
Points removed: 19, Discriminating Tests: 1787
Points removed: 20, Discriminating Tests: 2542
Points removed: 21, Discriminating Tests: 2686
Points removed: 22, Discriminating Tests: 3903
Points removed: 23, Discriminating Tests: 3674
Points removed: 24, Discriminating Tests: 4870
Points removed: 25, Discriminating Tests: 4740
Points removed: 26, Discriminating Tests: 5379
Points removed: 27, Discriminating Tests: 6558
Points removed: 28, Discriminating Tests: 6274
Points removed: 29, Discriminating Tests: 6523
Points removed: 30, Discriminating Tests: 6897
Points removed: 31, Discriminating Tests: 8151
Points removed: 32, Discriminating Tests: 8322
Points removed: 33, Discriminating Tests: 9130
Points removed: 34, Discriminating Tests: 9057
Points removed: 35, Discriminating Tests: 9143
Points removed: 36, Discriminating Tests: 10153
Points removed: 37, Discriminating Tests: 10796
Points removed: 38, Discriminating Tests: 11130
Points removed: 39, Discriminating Tests: 11745
Points removed: 40, Discriminating Tests: 12102
Points removed: 41, Discriminating Tests: 12856
Points removed: 42, Discriminating Tests: 12379
Points removed: 43, Discriminating Tests: 13016
Points removed: 44, Discriminating Tests: 14001
Points removed: 45, Discriminating Tests: 14612
Points removed: 46, Discriminating Tests: 14391
Points removed: 47, Discriminating Tests: 15586
Points removed: 48, Discriminating Tests: 15846
Points removed: 49, Discriminating Tests: 15603
Points removed: 50, Discriminating Tests: 15916
Points removed: 51, Discriminating Tests: 16647
Points removed: 52, Discriminating Tests: 17110
Points removed: 53, Discriminating Tests: 16477
Points removed: 54, Discriminating Tests: 17188
Points removed: 55, Discriminating Tests: 17517
Points removed: 56, Discriminating Tests: 18256
Points removed: 57, Discriminating Tests: 19523
Points removed: 58, Discriminating Tests: 19752
Points removed: 59, Discriminating Tests: 20030
Points removed: 60, Discriminating Tests: 19710
Points removed: 61, Discriminating Tests: 19654
Points removed: 62, Discriminating Tests: 20437
Points removed: 63, Discriminating Tests: 20197
Points removed: 64, Discriminating Tests: 21002
Points removed: 65, Discriminating Tests: 20944
Points removed: 66, Discriminating Tests: 21493
Points removed: 67, Discriminating Tests: 21528
Points removed: 68, Discriminating Tests: 22807
Points removed: 69, Discriminating Tests: 22423
Points removed: 70, Discriminating Tests: 22935
Points removed: 71, Discriminating Tests: 23670
Points removed: 72, Discriminating Tests: 22935
Points removed: 73, Discriminating Tests: 22716
Points removed: 74, Discriminating Tests: 23709
Points removed: 75, Discriminating Tests: 25078
Points removed: 76, Discriminating Tests: 24589
Points removed: 77, Discriminating Tests: 24628
Points removed: 78, Discriminating Tests: 26145
Points removed: 79, Discriminating Tests: 25676
